church_name,pastor,district,address,state,zip_code,phone
21st Century Church,Reverend Ayodele J Okuwobi,Ohio,"6305 Orchard Ln Cincinnati, OH 45213",OH,45213,(513) 417-3925
3C Church,Reverend Larry A Bogenrief,Ohio,"32901 Vine St Willowick, OH 44095",OH,44095,(216) 965-1096
Abundant Life Assembly of God,Reverend James E Goldsmith,Ohio,"1010 E Franklin St Kenton, OH 43326",OH,43326,(419) 675-3120
Abundant Life Church Assemblies of God,,Ohio,"1521 E Home Rd Springfield, OH 45503",OH,45503,(937) 399-6878
Abundant Life Ministries Church,Reverend Raymond L Balogh,Ohio,"7074 Engle Rd Middleburg Heights, OH 44130",OH,44130,(216) 287-8882
Adoration Assembly of God,Reverend Richard E Kennison,Ohio,"24 Park St Milan, OH 44846",OH,44846,(419) 602-7058
Adventure Church,Reverend Kyle T Hammond,Ohio,"5542 Columbus Pike Lewis Center, OH 43035",OH,43035,(614) 396-9076
Akron First Assembly,Reverend Ryan M Jarvis,Ohio,"1175 W Market St Akron, OH 44313",OH,44313,(330) 836-5531
Akron Springfield Assembly of God,Reverend Matthew J R Miller,Ohio,"1551 Canton Rd Akron, OH 44312",OH,44312,(330) 733-8701
Alger Assembly of God,Reverend Mark A Andreasen,Ohio,"7050 State Route 235 Alger, OH 45812",OH,45812,(419) 757-4501
Ark Church,Reverend Jeffrey B Shaull,Ohio,"200 Gelsanliter Rd Galion, OH 44833",OH,44833,(419) 468-9701
Assembly of God,Reverend Samuel G Adair,Ohio,"102 S 7th St Byesville, OH 43723",OH,43723,(740) 685-2553
Assembly of God,Reverend Karl A Garber,Ohio,"9082 Norwalk Rd Litchfield, OH 44253",OH,44253,(330) 723-2691
Assembly of God,Reverend Adam S Allen,Ohio,"830 Lafayette Rd Medina, OH 44256",OH,44256,(330) 725-4887
Assembly of God,"Reverend Charles D Sharp, Jr.",Ohio,"501 N 9th St Miamisburg, OH 45342",OH,45342,(937) 384-7981
Assembly of God,Reverend Veronica G Moorhead,Ohio,"1574 W Main St New Lebanon, OH 45345",OH,45345,(937) 687-1795
Assembly of God,Reverend Jason M Banar,Ohio,"2079 Kinsman Rd NW North Bloomfield, OH 44450",OH,44450,(440) 685-4262
Assembly of God,Reverend Daniel B Harrison,Ohio,"6401 State Route 14 Ravenna, OH 44266",OH,44266,(330) 297-1493
Assembly of God,,Ohio,"221 Jefferson St Salineville, OH 43945",OH,43945,(330) 679-2959
Assembly of God,Reverend John M Wirmel,Ohio,"609 W Locust St Wilmington, OH 45177",OH,45177,(937) 382-8665
Bellevue Assembly of God,Reverend Michael G Sweeney,Ohio,"770 Kilbourne St Bellevue, OH 44811",OH,44811,(540) 808-9490
Bethel Assembly of God,Reverend Kevin L Starr,Ohio,"665 W Indiana Ave Perrysburg, OH 43551",OH,43551,(419) 874-2255
Bethel Assembly of God,"Reverend Joel J Theis, Sr.",Ohio,"3807 Mahoning Ave Youngstown, OH 44515",OH,44515,(330) 799-9350
Bethel Christian,Reverend James R Galbraith,Ohio,"12901 W Pleasant Valley Parma, OH 44130",OH,44130,(440) 842-9600
Bethel Christian Assembly of God,Reverend Danny W Brown,Ohio,"860 Grange Hall Rd Beavercreek, OH 45430",OH,45430,(937) 253-4161
Bethel Church Of Tallmadge Assembly of God,Reverend Philip L Anderson,Ohio,"231 South Ave # Sr91 Tallmadge, OH 44278",OH,44278,(330) 633-2263
Brave Church,,Ohio,"9700 W Grantosa Dr Milwaukee, WI 53222",WI,53222,(262) 623-2952
Bridge of Hope Assembly of God,Reverend Michael D Miller,Ohio,"7580 Glenwood Ave Youngstown, OH 44512",OH,44512,(330) 726-8141
BridgeCo Church,,Ohio,"750 Scholl Rd Mansfield, OH 44907",OH,44907,(419) 210-8372
C3 Church,Reverend Konan K Stephens,Ohio,"6305 Waterloo Rd Canal Winchester, OH 43110",OH,43110,(614) 833-0033
Calvary Assembly of God,"Reverend Carl R Radcliff, Sr.",Ohio,"63849 US Highway 50 W Mc Arthur, OH 45651",OH,45651,(740) 596-4658
Calvary Assembly of God,,Ohio,"2061 Wadsworth Rd Orrville, OH 44667",OH,44667,(330) 682-9331
Calvary Assembly of God,Reverend Daniel A DeLembo,Ohio,"28870 Chardon Rd Willoughby Hills, OH 44092",OH,44092,(440) 944-5100
Calvary Christian Fellowship Assembly of God,Reverend Gavin O Walker,Ohio,"3601 Bexvie Ave Columbus, OH 43227",OH,43227,(614) 235-1400
Calvary Church,Reverend Chad S Gilligan,Ohio,"1360 Conant St Maumee, OH 43537",OH,43537,(419) 893-2171
Carrollton Assembly of God,Reverend Kerry W Green,Ohio,"400 Steubenville Rd SE Carrollton, OH 44615",OH,44615,(330) 627-3266
Casas De Fuego,,Ohio,"1370 Richmond Rd Lyndhurst, OH 44124",OH,44124,(216) 291-4545
Celebration Church Assembly of God,,Ohio,"688 Dan St Akron, OH 44310",OH,44310,(330) 762-7458
Centerbrook Church,Reverend Joseph D Horner,Ohio,"4030 W Franklin St Bellbrook, OH 45305",OH,45305,(937) 848-4390
CenterPoint Church of Ohio,Reverend Joseph M Barney,Ohio,"2303 Marion Mt Gilead Rd Marion, OH 43302",OH,43302,(740) 389-5936
