district,church_name,pastor,address,state,zip_code,phone
Alabama,Abundant Life Assembly of God,Reverend Kerry L Kizer,"966 Prevatt Rd Dothan, AL 36301",AL,36301,
Alabama,Abundant Life Fellowship Assembly of God,,"32365 Highway 69 Jasper, AL 35504",AL,35504,(205) 384-9817
Alabama,Agape Assembly of God,"Reverend Joe Mack Creamer, Jr.","1076 Kowaliga Rd Eclectic, AL 36024",AL,36024,(334) 541-2006
Alabama,Alabama Ministry Network,,"5919 Carmichael Rd Montgomery, AL 36117",AL,36117,(334) 279-7172
Alabama,Aldrich Assembly of God,Reverend Jerry R Phillips,"985 Highway 10 Montevallo, AL 35115",AL,35115,
Alabama,All Tribes Native American Indian Assembly of God,Reverend Phyllis A Brighton,"1566 Alpha St Midland City, AL 36350",AL,36350,(334) 237-8276
Alabama,Anchors Church,"Reverend William McDonald, Jr.","2115 2nd Ave E Oneonta, AL 35121",AL,35121,(205) 625-3211
Alabama,Apex Assembly,Reverend Vance R Linholm,"2521 Pelham Rd S, Unit C Jacksonville, AL 36265",AL,36265,(256) 365-7189
Alabama,Appleton First Assembly of God,Reverend J Russell McDonald,"3115 Lowery Landing Rd Brewton, AL 36426",AL,36426,(251) 867-7303
Alabama,Ardmore Assembly of God,Reverend Amos Conley,"28265 Boyds Chapel Rd Ardmore, AL 35739",AL,35739,(256) 423-6231
Alabama,Argo Assembly of God,,"1146 US Highway 11 Trussville, AL 35173",AL,35173,(205) 681-0173
Alabama,Assembly of God,,"Willow Ave Bayview, AL 35005",AL,35005,(205) 785-9321
Alabama,Assembly of God,,"204 W Henderson Rd Boaz, AL 35957",AL,35957,(256) 506-6787
Alabama,Assembly of God,,"8294 Brantley Hwy Brantley, AL 36009",AL,36009,(334) 634-0088
Alabama,Assembly of God,,"10527 Hwy 27 Chancellor, AL 36316",AL,36316,(334) 684-2083
Alabama,Assembly of God,Reverend Bobby D Hagler,"RR 1 Clayton, AL 36016",AL,36016,(334) 775-7253
Alabama,Assembly of God,"Reverend J C Moore, III","8410 Pirtle St Coden, AL 36523",AL,36523,(251) 395-7009
Alabama,Assembly of God,,"Hwy 84 E Cowarts, AL 36312",AL,36312,(334) 793-6956
Alabama,Assembly of God,Reverend William P Mansfield,"534 Holman Bridge Rd Daleville, AL 36322",AL,36322,(334) 598-6668
Alabama,Assembly of God,Reverend Stephen Dubose,"Dozier, AL 36028 Dozier, AL 36028",AL,36028,(334) 527-3372
Alabama,Assembly of God,Reverend Donald E Westbrook,"8695 Hill Rd Empire, AL 35063",AL,35063,(205) 648-0708
Alabama,Assembly of God,,"53 Patterson Rd Frisco City, AL 36445",AL,36445,(251) 362-1921
Alabama,Assembly of God,Reverend James T McVey,"6070 W Curtis St Glenwood, AL 36034",AL,36034,(334) 464-8019
Alabama,Assembly of God,Reverend James M Perkins,"402 Shady Ln Hanceville, AL 35077",AL,35077,(256) 708-9372
Alabama,Assembly of God,Reverend Clarence C Ramsay,"8540 Highway 90 Irvington, AL 36544",AL,36544,(251) 957-6807
Alabama,Assembly of God,,"2200 County Highway 208 Jack, AL 36346",AL,36346,(334) 897-0017
Alabama,Assembly of God,Reverend Kevin E Luker,"2601 Needham Rd Needham, AL 36915",AL,36915,(205) 673-2211
Alabama,Assembly of God,,"Standing Rock, AL 36878 Standing Rock, AL 36878",AL,36878,(334) 885-6238
Alabama,Assembly of God,Reverend Steven L Fairley,"404 E Broadway St Summerdale, AL 36580",AL,36580,(251) 979-4133
Alabama,Assembly of God,Reverend Charles E Wright,"16130 Highway 17 Toxey, AL 36921",AL,36921,(251) 843-5121
Alabama,Assembly of God,Reverend James G Hammock,"100 Bivens St Warrior, AL 35180",AL,35180,(205) 647-7911
Alabama,Assembly of God,Reverend Gregory P Morris,"Hwy 17 Yarbo, AL 36558",AL,36558,(251) 846-2075
Alabama,Assembly of God Church,Reverend Jerry Harden,"Madrid, AL 36348 Madrid, AL 36348",AL,36348,(334) 677-3156
Alabama,Assembly of God Worship Center,,"527 Montgomery Hwy Centreville, AL 35042",AL,35042,
Alabama,Authentic Life Church,Reverend Zachary A R Manning,"3750 Michael Blvd Mobile, AL 36609",AL,36609,(251) 342-4886
Alabama,Awaken Church Mobile,Reverend Joseph J Lee,"1501 Knollwood Dr Mobile, AL 36609",AL,36609,(251) 661-8383
Alabama,Bay Assembly of God,Reverend Steve A Pettis,"1706 S US Highway 31 Bay Minette, AL 36507",AL,36507,(251) 937-9030
Alabama,Bayside Church,Reverend John A Martin,"750 N Jackson St Mobile, AL 36603",AL,36603,(205) 299-1104
Alabama,Bethel Assembly of God,,"7497 Highway 51 Ariton, AL 36311",AL,36311,(334) 369-1005
Alabama,Bethel Worship Center,Reverend Grady C Russell,"11117 US Highway 231 Wetumpka, AL 36092",AL,36092,(334) 567-5754
Alabama,Bethesda Assembly of God,,"14251 Crystal Creek Dr Buhl, AL 35446",AL,35446,(205) 310-2170
Alabama,Bethlehem Assembly,,"6699 S County 81 Rd Gordon, AL 36343",AL,36343,
Alabama,Bibleway Assembly,"Reverend James E Sullivan, Jr.","15787 US Highway 98 Foley, AL 36535",AL,36535,
Alabama,Blessed Hope Assembly of God,Reverend Terry L Havens,"10001A Hall Rd Grand Bay, AL 36541",AL,36541,(251) 581-5076
Alabama,Bowles Assembly of God,,"9987 Owassa Rd Evergreen, AL 36401",AL,36401,
Alabama,Bradley Assembly of God,,"16305 Bradley Rd Wing, AL 36483",AL,36483,(251) 867-7808
