district,church_name,pastor,address,state,zip_code,phone
Central District,Agua De Vida,Reverend David T Rosales,"200 S Espina St Las Cruces, NM 88001",NM,88001,(575) 680-6749
Central District,Ancla De La Fe Spanish Assembly of God,,"Sixth & Main Lake Arthur, NM 88253",NM,88253,
Central District,Aposento Alto,,"2720 McBride Pl Burley, ID 83318",ID,83318,
Central District,Aposento Alto,,"311 S 5th St Loving, NM 88256",NM,88256,(806) 206-0197
Central District,Asamblea de Dios,Reverend Efrain H Funes,"626 E 6th Ave Truth Or Consequences, NM 87901",NM,87901,(575) 277-5363
Central District,Asambleas de Dios Maranatha,Maria Lourdes Hernandez,"243 S 400 W Springville, UT 84663",UT,84663,(801) 837-2271
Central District,Assembly of God,Reverend Raymond J Hurtado,"677 Madison St Monte Vista, CO 81144",CO,81144,(719) 852-4547
Central District,Billings Praise Center,Reverend David S Morales,"516 S 37th St Billings, MT 59101",MT,59101,(406) 245-7609
Central District,Calvary International,Reverend E Arthur Trujillo,"578 E 5th Ave Durango, CO 81301",CO,81301,(970) 247-9631
Central District,Casa de Dios,Nehemias Nava Betancourt,"11111 E Mississippi Ave Ste 108 Aurora, CO 80012",CO,80012,(720) 885-0803
Central District,Casa De Restauracion,Reverend Juan G Lopez,"5236 W Main St Herriman, UT 84096",UT,84096,(801) 604-2999
Central District,Casa Del Alfarero,Reverend Luis Manuel Cuellar,"2045 N 800 E North Logan, UT 84341",UT,84341,(435) 770-0795
Central District,Casa Del Padre,,"1208 Garfield Ave Loveland, CO 80537",CO,80537,(970) 685-9313
Central District,Center Assembly of God,Reverend James J Archuleta,"7th & Miles Center, CO 81125",CO,81125,
Central District,Central District,,"7510 Sherman St Denver, CO 80221",CO,80221,(720) 540-3183
Central District,Centro Cristiano de Adoracion,,"1990 Florida Rd Durango, CO 81301",CO,81301,(505) 947-5510
Central District,Centro Cristiano Vida Abundante,Reverend Alfredo Rodriguez,"420 21st Ave Longmont, CO 80501",CO,80501,(303) 709-1016
Central District,Centro Cristiano Vida Abundante Greeley,Reverend Evangelina Rodriguez,"2626 11th Ave St B Greeley, CO 80631",CO,80631,(720) 998-7000
Central District,Centro de Alabanza A Cristo,,"3099 Elizabeth St Denver, CO 80205",CO,80205,
Central District,Centro Familiar Cristiano,Reverend Horacio V Lopez,"14333 Bolling Dr Denver, CO 80239",CO,80239,(720) 288-8026
Central District,Chama Valley Worship Center,,"899 Pine St Chama, NM 87520",NM,87520,(575) 756-1923
Central District,Communidad Cristiana de Fe y Restauracion,,"630 N 3rd Sterling, CO 80751",CO,80751,(970) 580-0913
Central District,Cornerstone Assembly of God,,"1902 Saint Clair Ave Pueblo, CO 81004",CO,81004,(719) 542-4133
Central District,Cristo El Rey Asamblea de Dios,Reverend Rodrigo G Gonzalez,"117 E 11th Ave Antonito, CO 81120",CO,81120,(719) 376-5513
Central District,Cristo Es La Unica Respuesta,Reverend Antonio Solis,"303 Corpening&Principal La Mesa, NM 88044",NM,88044,(575) 639-7652
Central District,Deming Casa de Dios,Reverend Obed Rivera,"615 E Ash St Deming, NM 88030",NM,88030,(575) 546-9563
Central District,Dolores River Church,,"102 N 7th St Dolores, CO 81323",CO,81323,(970) 565-4198
Central District,El Buen Pastor,Reverend Carroll D Sluder,"1759 Highway 50 Delta, CO 81416",CO,81416,(970) 765-4749
Central District,El Buen Pastor The Good Shepherd Bilingual Assembly,Reverend Daniel Espinosa,"609 Calle Rivera Espanola, NM 87532",NM,87532,(505) 747-0094
Central District,Emmanual Christian Assembly,,"N B U 64 814 E Harrison Ave Fruita, CO 81521",CO,81521,(970) 858-9966
Central District,Eternal Life Assembly of God,"Alfredo E Hernandez, Jr.","119 N Linam St Hobbs, NM 88240",NM,88240,(505) 441-6112
Central District,Evangel Assembly of God,Reverend Jeffery D McDonell,"209 W 5th St Cortez, CO 81321",CO,81321,(970) 565-4198
Central District,Fearless Brighton Church,Reverend Jaime Vega,"965 Platte River Blvd Unit Q Brighton, CO 80601",CO,80601,(303) 558-0449
Central District,First Spanish Assembly of God,,"1305 S Garden B Roswell, NM 88201",NM,88201,(575) 625-0885
Central District,Fraternidad de Fe,Reverend Alfonso Alvarado,"307 S Fulton Ave Fort Lupton, CO 80621",CO,80621,(970) 347-0588
Central District,Fraternidad de Fe,Reverend Milton C Segovia,"2376 47th Ave Greeley, CO 80634",CO,80634,(970) 815-6921
Central District,Fuente de Vida,Reverend Fernando Figueroa,"98 N Harriett Ave Milliken, CO 80543",CO,80543,(970) 587-7756
Central District,Grace Community Church,Reverend Larry A Cisneros,"Arroyo Hondo, NM 87513 Arroyo Hondo, NM 87513",NM,87513,(575) 776-5271
Central District,Granite Peaks Church,Reverend Mark P Lopez,"810 Knox Ct Denver, CO 80204",CO,80204,(720) 690-4980
Central District,GRIP Church,Reverend David Guajardo,"4616 2nd St NW Albuquerque, NM 87107",NM,87107,(505) 228-8626
Central District,Healing Waters Ministries,Reverend Joseito Velasquez,"6475 W 29th Ave Wheat Ridge, CO 80214",CO,80214,(303) 233-6047
Central District,Healing Waters Ministries,Reverend Joseito Velasquez,"6475 W 29th Ave Wheat Ridge, CO 80214",CO,80214,(303) 233-6047
Central District,Healing Waters Puerto Rico,Reverend Maritza Rios-Colon,"R11 Calle Leila W Toa Baja, PR 00949",PR,00949,(787) 603-8505
Central District,House of Praise Assemblies of God,Reverend Ernest B Brown,"County Rd 51 Bldg 164 Velarde, NM 87582",NM,87582,(505) 795-4531
Central District,House of Prayer Assembly of God Church,,"72 W 2nd North St Green River, WY 82935",WY,82935,(307) 221-4451
Central District,Iglesia Conexion y Fuerza Agape,,"1055 N Redwood Rd Salt Lake City, UT 84116",UT,84116,(385) 337-4185
Central District,Iglesia Cristiana Maranatha Asamblea de Dios,Reverend Jose Mateo Aguilar,"3605 Pecos St Denver, CO 80211",CO,80211,(303) 477-4499
Central District,Iglesia Cristo La Roca,Reverend Robin O Vega,"880 Castle Valley Blvd New Castle, CO 81647",CO,81647,
Central District,Iglesia De Cristo Nuevo Amanecer,Reverend Jose R Ramirez,"16795 Hwy 144 Log Lane Village, CO 80705",CO,80705,(970) 542-1218
Central District,Iglesia Del Camino,,"1729 N Garfield Ave Pocatello, ID 83204",ID,83204,
Central District,Iglesia Del Pueblo,Reverend Joe A Gonzales,"2185 Taylor Ave Ogden, UT 84401",UT,84401,(801) 621-3089
Central District,Iglesia Emanuel Asambleas de Dios,Reverend Oscar Guerrero,"1403 W 820 N Provo, UT 84601",UT,84601,(361) 944-0591
Central District,Iglesia Jehova - Sama,Reverend Gilberto Andrade,"1776 Emma Rd Basalt, CO 81621",CO,81621,(970) 987-3708
Central District,Iglesia Monte De Sion,Reverend Efrain H Funes,"100 S Melendres St Las Cruces, NM 88005",NM,88005,(575) 277-5363
Central District,Iglesia Principe De Paz,,"1200 Pile St Clovis, NM 88101",NM,88101,
Central District,Iglesia Trinidad,Reverend Rolando Solis,"126 Kircher St Carlsbad, NM 88220",NM,88220,
Central District,Iglesia Triunfante Asamblea de Dios,Reverend Carlos M Davila,"618 Virginia Ave Alamogordo, NM 88310",NM,88310,(575) 439-5112
Central District,Iglesia Unidos Por Cristo Thorton,Reverend Luis E Rodriguez,"2260 E 88th Ave Denver, CO 80229",CO,80229,(303) 725-2478
Central District,Iglesia Viva,Reverend Joel P Gonzalez,"1055 N Redwood Rd Salt Lake City, UT 84116",UT,84116,(385) 337-4185
Central District,Jesucristo Es El Camino Asamblea de Dios,,"4025 S 1500 E Vernal, UT 84078",UT,84078,
Central District,Juan 3:16,,"209 Meadow Vista Blvd Sunland Park, NM 88063",NM,88063,
Central District,Juan 3:16 Asamblea de Dios,,"125 Eubank Blvd NE Albuquerque, NM 87123",NM,87123,(505) 266-7640
Central District,Junction Community Church,"Reverend Paul D Espinoza, Jr.","2867 Orchard Ave Grand Junction, CO 81501",CO,81501,(970) 243-0757
Central District,La Puerta Abierta,Reverend E R Ted Cordova,"1702 W 20th St Pueblo, CO 81003",CO,81003,
Central District,Las Vegas Community Church,Reverend Gabriel W Ortiz,"1022 2nd St Las Vegas, NM 87701",NM,87701,(505) 429-4523
Central District,Legacy Church FC,Reverend Grant A Parkki,"600 9th St Fort Collins, CO 80524",CO,80524,(970) 213-8502
Central District,Lirio De Los Valles Ministry,Reverend Saul Manriquez,"124 Texas St NE Albuquerque, NM 87108",NM,87108,(505) 659-0521
Central District,Living Waters Assembly of God,"Reverend Adan B Cantu, Jr.","200 S Espina St Unit A Las Cruces, NM 88001",NM,88001,(575) 496-3890
Central District,Mission Emmanuel Assembly of God,,"412 Davis St Anthony, NM 88021",NM,88021,(915) 540-5618
Central District,Monte Calvario,Reverend Reynaldo Moreno,"Robertson St & Third Worland, WY 82401",WY,82401,(307) 431-8313
Central District,Monte De Sion Community Church,Reverend Miguel Angel Perez,"3513 Tower Rd SW Albuquerque, NM 87121",NM,87121,(505) 550-9689
Central District,Monte de Sion Cuba,Reverend Miguel Angel Perez,"11 Reed Rd Cuba, NM 87013",NM,87013,(505) 361-2948
Central District,Monte De Sion Rio Rancho,Reverend Miguel Angel Perez,"4100 Southern Blvd SE Rio Rancho, NM 87124",NM,87124,(505) 361-2948
Central District,Mount Calvary Assembly of God,Reverend Frank Chavez,"14 County Road A037 Mora, NM 87732",NM,87732,(575) 387-2113
Central District,Mount Calvary Family Worship Center Assembly of God,Reverend Jaime Moreno,"3050 S 3200 W West Valley City, UT 84119",UT,84119,(801) 679-0466
Central District,Mount Carmel Assembly of God,"Reverend Elias F Perez, Sr.","11755 N 75th St Ste A Longmont, CO 80503",CO,80503,(303) 772-4547
Central District,New Beginnings Assembly of God,Reverend Marcos R Martinez,"St Rte 76  House #998 Chimayo, NM 87522",NM,87522,(505) 927-5471
Central District,New Beginnings Church,,"480A County Road 84 Santa Fe, NM 87506",NM,87506,(505) 455-7870
Central District,New Fire Assembly,Reverend Lorenzo R Martinez,"1693 N M State Hwy 502 Pojoaque, NM 87506",NM,87506,(505) 927-8425
Central District,New Hope Assembly of God,Reverend Javier Avila,"850 24th St Ogden, UT 84401",UT,84401,(801) 394-2341
Central District,New Hope Christian Fellowship,,"1900 AA St Greeley, CO 80631",CO,80631,(970) 352-8735
Central District,New Life Assembly of God,Reverend Clemente Saavedra,"218 Washington Ave Grants, NM 87020",NM,87020,(505) 287-8467
Central District,New Life Farmington,"Reverend Ruben Romero, Jr.","8121 E Main St Farmington, NM 87402",NM,87402,(505) 325-5091
Central District,New Life/Nueva Vida Assembly of God,Reverend Lorenzo R Martinez,"19437 US Hwy 84/285 Hernandez, NM 87537",NM,87537,(505) 747-3580
Central District,Nueva Esperanza,Reverend Raul Chavelas,"6540 Leyden St Commerce City, CO 80022",CO,80022,(720) 541-6481
Central District,Nueva Vida Asamblea de Dios,Reverend Juan A Del Cid,"1613 W 3500 S West Valley City, UT 84119",UT,84119,(801) 577-7989
Central District,Palabra Viva,Reverend Ana M Valeriano,"601 Carey Ave Gillette, WY 82716",WY,82716,(307) 331-7706
Central District,Reino Del Espiritu Santo,Reverend Juana Martinez,"1620 N Mesquite St Las Cruces, NM 88001",NM,88001,(575) 444-6443
Central District,Restauracion Total Church,,"4211 E 100th Ave Lot 401 Thorton, CO 80229",CO,80229,(720) 477-8700
Central District,Restoration Fellowship International,Reverend Tommy J Perea,"522 Capitol Ave Cheyenne, WY 82007",WY,82007,(307) 635-3184
Central District,Revive Church Pueblo,,"2845 E 11th St Pueblo, CO 81001",CO,81001,(719) 822-1350
