district,church_name,pastor,address,state,zip_code,phone
Florida Multicultural,A Place Called Hope,Reverend Luis M Molina,"760 S Military Trl West Palm Beach, FL 33415",FL,33415,(561) 686-5655
Florida Multicultural,Abba Church,Reverend Luis A Martinez,"7520 W Waters Ave Tampa, FL 33615",FL,33615,(813) 433-4441
Florida Multicultural,Acts Community Church,,"8226 NW 14th St Doral, FL 33126",FL,33126,(305) 225-2507
Florida Multicultural,Alfa Y Omega,Reverend Amaury Juvier,"1022 NE Oak St Arcadia, FL 34266",FL,34266,(863) 494-7556
Florida Multicultural,Amor City Church,Reverend Juan J Estremera,"11519 McMullen Rd Riverview, FL 33569",FL,33569,(813) 586-0612
Florida Multicultural,Arbol de Vida,Reverend Arturo F Bobadilla,"1701 N East Ave Panama City, FL 32405",FL,32405,(386) 490-0929
Florida Multicultural,Assembleia de Deus,,"7801 Carlyle Ave Miami Beach, FL 33141",FL,33141,
Florida Multicultural,Bethel Assemblies of God,,"1225 W Main St Immokalee, FL 34142",FL,34142,(239) 657-8302
Florida Multicultural,Bethel Christian Assembly,Reverend Eli Bonilla,"1425 Renee Ave Orlando, FL 32825",FL,32825,(407) 440-3780
Florida Multicultural,Bethel Christian Church,Reverend Abel A Lopez,"3030 NW 8th St Miami, FL 33012",FL,33012,(305) 634-0980
Florida Multicultural,Bethesda Asamblea de Dios,,"7780 64th St N Pinellas Park, FL 33781",FL,33781,(727) 290-5707
Florida Multicultural,Buenas Nuevas Church Asamblea de Dios,Reverend Daniel A Hernandez,"Miami, FL 33055 Miami, FL 33055",FL,33055,
Florida Multicultural,Camino A La Gloria,Reverend Manuel Manzano,"851 Lopez St Clewiston, FL 33440",FL,33440,(239) 222-4627
Florida Multicultural,Casa de Bendicion,Reverend Jayfred Morales,"2525 Fortune Rd Kissimmee, FL 34744",FL,34744,(407) 483-7845
Florida Multicultural,Casa de Bendicion International Asamblea de Dios,Reverend Juan F Guzman,"343 Nail St NE Palm Bay, FL 32907",FL,32907,(321) 848-6407
Florida Multicultural,Casa de Dios en Gainesville Asamblea de Dios,Reverend Juan Flecha-Cuadrado,"3456 SW 42nd Ave Gainesville, FL 32608",FL,32608,(352) 792-6673
Florida Multicultural,Casa de Esperanza Asamblea de Dios,Reverend Ruben Rodriguez,"8839 County Road 44 Leesburg, FL 34788",FL,34788,(407) 800-8935
Florida Multicultural,Casa de Gracia Asambleas de Dios,Reverend Manuel D Ayala Ongay,"5338 Freeport Dr Spring Hill, FL 34606",FL,34606,(352) 650-5365
Florida Multicultural,Casa De Oracion,,"6455 Taft St Hollywood, FL 33024",FL,33024,(954) 249-7900
Florida Multicultural,Casa de Oracion Ebenezer,,"123 Old Highway 134 Daleville, AL 36322",AL,36322,(334) 709-4261
Florida Multicultural,Casa de Oracion IMB Winter Haven,Reverend Leyda M Diaz,"103 Avenue A SE Winter Haven, FL 33880",FL,33880,(407) 922-6186
Florida Multicultural,Casa de Oracion y Luz,Reverend Rafael E Casiano,"1557 Seahorse St Deltona, FL 32725",FL,32725,(386) 216-0098
Florida Multicultural,Casa de Refugio Tampa Asamblea de Dios,"Reverend Ramon Cruz, Jr.","6820 N Orleans Ave Tampa, FL 33604",FL,33604,(813) 679-9114
Florida Multicultural,Casa de Restauracion Espiritual y Evang Asamblea de Dios,Reverend Armando D Nieblas,"7780 64th St N Pinellas Park, FL 33781",FL,33781,(727) 251-8953
Florida Multicultural,Catalyst International Church,,"14500 Landstar Blvd Orlando, FL 32824",FL,32824,(407) 438-6100
Florida Multicultural,Celebration Church,Reverend Alvaro I Bruzon,"Apt 1802 1307 Saint Tropez Cir Weston, FL 33326",FL,33326,(954) 494-2962
Florida Multicultural,Celebration Church International,Reverend Alex A Gutierrez,"300 N Royal Poinciana Blvd Miami Springs, FL 33166",FL,33166,(305) 209-3313
Florida Multicultural,Centro Biblico Camino de Fe,Maria C Rosell Silvente,"6263 W Sample Rd Coral Springs, FL 33067",FL,33067,(305) 336-4332
Florida Multicultural,Centro Biblico Internacional de Hialeah,Reverend Boris Acosta,"15217 NW 60th Ave Miami Lakes, FL 33014",FL,33014,(305) 362-6917
Florida Multicultural,Centro Biblico Internacional St Cloud,Reverend Paul A Smit,"1975 Michigan Ave Saint Cloud, FL 34769",FL,34769,(407) 731-0206
Florida Multicultural,Centro Biblico International Assembly of God,,"8701 SW 124th St Miami, FL 33176",FL,33176,(305) 499-0128
Florida Multicultural,Centro Biblico International Central Florida Assembly of God,Reverend Roy Smit,"Ste 104 7507 Kingspointe Pkwy Orlando, FL 32819",FL,32819,(407) 226-7024
Florida Multicultural,Centro Cristiano 1 Juan 4:8,Reverend Manuel Paez Ramirez,"877 SW 2nd Ter Deerfield Beach, FL 33441",FL,33441,(954) 305-4374
Florida Multicultural,Centro Cristiano Casa De Restauracion,,"2516 SW 29th Ter Cape Coral, FL 33914",FL,33914,
Florida Multicultural,Centro Cristiano Generacion con Proposito,Reverend Joanni Barreto,"Ste 18 441 S State Road 7 Margate, FL 33068",FL,33068,(954) 532-5310
Florida Multicultural,Centro Cristiano Hispano,Reverend Jeronimo Perez-Reyes,"2014 Providence Rd Brandon, FL 33511",FL,33511,(813) 685-4454
Florida Multicultural,Centro Cristiano Shalom,Reverend Abiud Caba,"800 North Blvd W Davenport, FL 33837",FL,33837,(863) 588-2633
Florida Multicultural,Centro de Adoracion International,,"13000 Okeechobee Blvd Loxahatchee, FL 33470",FL,33470,(561) 530-9355
Florida Multicultural,Centro Evangelistico La Roca,Reverend David Bonilla,"19000 Sw 112Th Ave Cutler Bay, FL 33157",FL,33157,(305) 274-5573
Florida Multicultural,Centro Evangelistico Peniel,Reverend Osmany R Gonzalez,"12105 SW 129th Ct Miami, FL 33186",FL,33186,(305) 910-6472
Florida Multicultural,Centro Internacional Sion,Reverend Walter Arias,"2500 NW 36th St Miami, FL 33142",FL,33142,(305) 389-4722
Florida Multicultural,Centro Restauracion Emmanuel Asamblea de Dios,,"4267 Neptune Rd Saint Cloud, FL 34769",FL,34769,(407) 891-0343
Florida Multicultural,Christian Center of the Good Samaritan,Reverend William Colon,"2220 Hunter St Fort Myers, FL 33901",FL,33901,(239) 313-5304
Florida Multicultural,Christian Church Rains of Grace,,"2627 Lehigh Ave Kissimmee, FL 34741",FL,34741,(347) 902-0384
Florida Multicultural,Christian Community Ministry of Faro Assembly of God,Reverend Lazaro W Rojas,"7602 N Florida Ave Tampa, FL 33604",FL,33604,(813) 317-7624
Florida Multicultural,Christian Fellowship Church Assembly of God,Reverend Hernando D Vera,"9775 NW 26 Ct Sunrise, FL 33322",FL,33322,(786) 380-9167
Florida Multicultural,Church At The Shores Assembly of God,Reverend Benjamin Feliciano,"13235 Palm Beach Blvd Fort Myers, FL 33905",FL,33905,(239) 822-2977
Florida Multicultural,City Church of Ocala,Reverend Jose M Cabezudo,"2321 NE 29Th Ave Ocala, FL 34470",FL,34470,(352) 653-4811
Florida Multicultural,Cominando en lo Sobrenatural Asamblea de Dios,Reverend Hilda L Jorles,"2154 Central Florida Pkwy Orlando, FL 32837",FL,32837,(407) 770-9341
Florida Multicultural,Community New Beginning Assembly of God,Reverend Alondra A Jimenez,"540 SE 47Th Ter Cape Coral, FL 33904",FL,33904,(239) 738-3322
Florida Multicultural,Comunidad Cristiana Camino de Esperanza,,"3984 Arnold Ave Ste 100 Naples, FL 34104",FL,34104,(239) 289-7792
Florida Multicultural,Comunidad Cristiana del Reino de Dios,Reverend Ricardo A Gomez,"7100 142nd Ave North Largo, FL 33771",FL,33771,(727) 421-7696
Florida Multicultural,Comunidad Cristiana Hosanna Asamblea de Dios,Reverend Manuel Dario Jimenez,"5854 SE 5th St Ocala, FL 34472",FL,34472,(352) 286-3491
Florida Multicultural,Comunidad Cristiana Miami Asamblea de Dios,Reverend Lazaro Desvergunat,"199 Sw 12Th Ave Miami, FL 33130",FL,33130,(305) 815-2259
Florida Multicultural,Cristiana Vida Nueva,,"911 S Palmetto Ave Sanford, FL 32771",FL,32771,(407) 330-2024
Florida Multicultural,Cristo Mi Dulce Refugio Asamblea de Dios,,"Ste 210 6758 N Military Trl West Palm Beach, FL 33407",FL,33407,(561) 567-3451
Florida Multicultural,Ebenezer Assembly of God,Reverend Carmen M Rosado,"11505 Colony Hill Dr Seffner, FL 33584",FL,33584,(813) 362-6035
Florida Multicultural,El Faro Assembly of God,Reverend Victor E Feliciano,"12273 S US Hwy 301 Belleview, FL 34420",FL,34420,(352) 245-6244
Florida Multicultural,El Hacedor Juan 3:16,Reverend Ramon J Rojas,"413 Fern St Jupiter, FL 33458",FL,33458,(561) 744-7488
Florida Multicultural,El Hacedor Juan 3:16,Reverend Ramon J Rojas,"413 Fern St Jupiter, FL 33458",FL,33458,(561) 744-7488
Florida Multicultural,El Redentor Church Assembly of God,Reverend William R Chung,"3000 SW 107th Ave Miami, FL 33165",FL,33165,(305) 221-0009
Florida Multicultural,elFaro Church Assemblies of God,Dimary Rivera-Fontanez,"1006 S Thacker Ave Kissimmee, FL 34741",FL,34741,(407) 476-8451
Florida Multicultural,Esperanza City Church,Reverend Jahaziel Galarza,"635 N Wabash Ave Lakeland, FL 33815",FL,33815,(863) 683-3161
Florida Multicultural,Eternal Word of Life,Reverend Efrain F Acosta,"6491 W 2nd Ave Hialeah, FL 33012",FL,33012,(305) 818-2304
Florida Multicultural,Familias Para Jesucristo Assembly of God,Reverend Hector Rosell,"199 Arora Blvd Orange Park, FL 32073",FL,32073,(352) 260-5416
Florida Multicultural,Faro de Luz Resplandeciendo Asamblea de Dios,,"4508 Curry Ford Rd Orlando, FL 32812",FL,32812,(561) 727-6575
Florida Multicultural,First Spanish Church of Citrus County,Reverend David Pinero,"1370 N Croft Ave Inverness, FL 34453",FL,34453,(352) 341-1711
Florida Multicultural,Florida Multicultural,,"830 California Woods Cir Orlando, FL 32824",FL,32824,(407) 850-9861
Florida Multicultural,Fuente de Poder Internacional,,"3660 16th St Vero Beach, FL 32960",FL,32960,(772) 501-6285
Florida Multicultural,Generacion de Fe,Reverend Maddiel Perez,"1840 N Goldenrod Rd Orlando, FL 32807",FL,32807,(407) 277-3013
Florida Multicultural,Gracia Community Chu Assembly of God,Reverend Laura E Olivo,"800 Tuskawilla Rd Winter Springs, FL 32708",FL,32708,(407) 873-4659
Florida Multicultural,Hebron Church,Consuelo Alves-Castilho,"3266 NW 99th Way Coral Springs, FL 33065",FL,33065,(954) 695-5504
Florida Multicultural,Iglesia Agua Viva Asambleas de Dios,Reverend Joel F Chevres,"2205 Forest Blvd Jacksonville, FL 32246",FL,32246,(904) 717-9146
Florida Multicultural,Iglesia Amor Divino Asamblea de Dios,Reverend Raul Tejeda Munoz,"1255 W 46th St #13 Hialeah, FL 33012",FL,33012,(754) 304-4296
Florida Multicultural,Iglesia Avivamiento Emanuel,Reverend Armando A Pomares,"710 27th St NW Winter Haven, FL 33881",FL,33881,(863) 293-5112
Florida Multicultural,Iglesia Betania Asambleas de Dios,Reverend Ramon D Mendez Cruz,"10300 NW 36th Pl Miami, FL 33147",FL,33147,(786) 728-0887
Florida Multicultural,Iglesia Betesda Asamblea de Dios,Reverend Justo P Armas,"3300 NW 135th St Opa Locka, FL 33054",FL,33054,(305) 685-7566
Florida Multicultural,Iglesia Casa Del Alfarero,Reverend Pedro A Marrero,"12100 NW 39th Ave Gainesville, FL 32606",FL,32606,(352) 244-8989
Florida Multicultural,Iglesia Casa Del Alfarero,Reverend Victor M Rosario,"7051 Pershing Ave Orlando, FL 32822",FL,32822,(407) 736-8701
Florida Multicultural,Iglesia Cielos Abiertos Asambleas de Dios,Reverend Edmanuel Carrion,"1125 US Hwy 17 Davenport, FL 33837",FL,33837,(863) 320-4980
Florida Multicultural,Iglesia Corazon Nuevo Asamblea de Dios,Reverend Amaralys Ferraro,"1725 S Volusia Ave Orange City, FL 32763",FL,32763,(386) 848-8892
Florida Multicultural,Iglesia Cristiana de Adoracion Asamblea de Dios,"Reverend Johnny Narvaez, Jr.","1557 N Chickasaw Trl Orlando, FL 32825",FL,32825,(407) 658-8506
Florida Multicultural,Iglesia Cristiana De Avivamiento,"Reverend Joel Santos, Sr.","2151 S 78th St Tampa, FL 33619",FL,33619,(813) 626-1336
Florida Multicultural,Iglesia Cristiana Elim,Reverend Isaac Roman,"2040 Collier Ave Fort Myers, FL 33901",FL,33901,(239) 348-5953
Florida Multicultural,Iglesia Cristiana Emanuel,,"541 Evergreen Rd North Fort Myers, FL 33903",FL,33903,(813) 482-7499
Florida Multicultural,Iglesia Cristiana Josue,Reverend Ricardo A Calles,"8328 W Oakland Park Blvd Sunrise, FL 33351",FL,33351,(954) 578-7446
