district,church_name,pastor,address,state,zip_code,phone
Georgia,Abundant Life Assembly of God,Reverend Jeremiah D Hosford,"751 Dean Patrick Rd Locust Grove, GA 30248",GA,30248,(770) 775-4838
Georgia,Abundant Life Chapel,Reverend Christopher B Wilson,"24 Ten Mile Bay Rd Nashville, GA 31639",GA,31639,(229) 686-2944
Georgia,Abundant Life Church Macon,Reverend Harold L Clark,"630 Wimbish Rd Macon, GA 31210",GA,31210,(678) 588-3857
Georgia,Agape International Church,Reverend Adilson F Silva,"840 N Park Dr SE Marietta, GA 30060",GA,30060,(770) 693-8667
Georgia,ALC Jonesboro,Reverend Jeremiah D Hosford,"2560 Highway 138 E Jonesboro, GA 30236",GA,30236,(770) 775-4838
Georgia,Alive Assembly of God,Reverend Scott D Wiersma,"1007 US Highway 80 W Pooler, GA 31322",GA,31322,(912) 748-5847
Georgia,Assembly of God,Reverend Jeremy L Williams,"1678 Lee Rd Lithia Springs, GA 30122",GA,30122,(770) 948-4183
Georgia,Assembly of God,Reverend Darrell S Burns,"Highway 136 W Resaca, GA 30735",GA,30735,(706) 506-3038
Georgia,Assembly of God Church,Reverend Levi G W Carpenter,"45 Railroad St W Jeffersonville, GA 31044",GA,31044,(478) 945-6221
Georgia,Assembly of God Tabernacle,Reverend Michael D Tedder,"1580 Agape Way Decatur, GA 30035",GA,30035,(404) 284-5683
Georgia,Atlanta Christian Assembly,Reverend John M Cherian,"756 Jordan Ln Decatur, GA 30033",GA,30033,(770) 309-3635
Georgia,Atlanta Dream Center Church,Reverend Paul V Palmer,"635 Angier Ave NE Atlanta, GA 30308",GA,30308,(404) 817-3502
Georgia,Augusta's Cornerstone Assembly of God,Reverend Philip D Stanley,"4301 Windsor Spring Rd Hephzibah, GA 30815",GA,30815,(706) 250-0072
Georgia,Awaken Church,Reverend Tyler W Harris,"801 West Ave Cartersville, GA 30120",GA,30120,(270) 977-5144
Georgia,Awaken Community Church,Reverend Ryan M Gutowski,"2105 Devonshire Dr Columbus, GA 31904",GA,31904,(706) 358-9111
Georgia,Baker County Assembly of God,Reverend Malcolm C Parker,"3836 Travelers Rest Rd Newton, GA 39870",GA,39870,
Georgia,Believer's Fellowship Assembly of God,Reverend Jonathan S Fennell,"1855 Christian Cir SE Conyers, GA 30013",GA,30013,(770) 922-1022
Georgia,Bethel Tabernacle,Reverend Thomas D Courtney,"5410 Thomason Ave Columbus, GA 31904",GA,31904,(706) 322-7660
Georgia,Bridge City Church,Reverend Steven W Hedgecoth,"3910 N Henry Blvd Stockbridge, GA 30281",GA,30281,(770) 474-8352
Georgia,Brooks Assemblies of God,Reverend Craig A Rivers,"7401 Newnan Rd Brooks, GA 30205",GA,30205,(470) 532-8385
Georgia,Brookstone Church,Reverend Jeff L Lovell,"3681 Cleveland Hwy Gainesville, GA 30506",GA,30506,(678) 400-8149
Georgia,Calvary Assembly of God,Reverend Jerry H Buttrum,"300 Canal St Cedartown, GA 30125",GA,30125,(770) 748-4819
Georgia,Calvary Assembly of God,,"8100 Cooper Creek Rd Columbus, GA 31909",GA,31909,
Georgia,Casa de Salvacion,Juan Rodriguez Gonzalez,"7300 Whittlesey Blvd Columbus, GA 31909",GA,31909,(706) 561-7777
Georgia,Centerville Community Church,Reverend Justin T Wright,"401 Wilson Dr Centerville, GA 31028",GA,31028,(478) 333-6888
Georgia,Chapelhill Church,Reverend C Daniel Gray,"5357 Chapel Hill Rd Douglasville, GA 30135",GA,30135,(770) 489-5990
Georgia,Chapelhill Church Atlanta,Reverend C Daniel Gray,"4330 Washington Rd Atlanta, GA 30344",GA,30344,(770) 293-0770
Georgia,Chapelhill Church Bremen,Reverend C Daniel Gray,"1009 Alabama Ave S Bremen, GA 30110",GA,30110,(770) 293-0780
Georgia,Chapelhill Church Dunwoody,Reverend C Daniel Gray,"5067 Chamblee-Dunwoody Dunwoody, GA 30338",GA,30338,(770) 393-2197
Georgia,Christ Chapel - Barnesville,,"552 Highway 18 W Barnesville, GA 30204",GA,30204,(770) 567-1141
Georgia,Christ Chapel - Fayetteville,,"1144 SR-92 Fayetteville, GA 30215",GA,30215,(770) 567-1141
Georgia,Christ Chapel - Hampton,,"810 New Mom Rd Hampton, GA 30228",GA,30228,(770) 567-1141
Georgia,Christ Chapel at Sportstowne,Reverend John C Wood,"170 Starcadia Cir Macon, GA 31210",GA,31210,(478) 475-9818
Georgia,Christ Chapel Community Church,Reverend Billy T Smith,"68 Old Zebulon Rd Zebulon, GA 30295",GA,30295,(770) 567-1141
Georgia,Christ Chapel East,Reverend K Scott Davidson,"2675 Gray Hwy Macon, GA 31211",GA,31211,(478) 318-3659
Georgia,Christ Chapel Hamilton,,"13377 US Highway 27 N Hamilton, GA 31811",GA,31811,(770) 567-1141
Georgia,Christ Chapel Warner Robins Assembly of God,Reverend Clifton J Hefley,"2288 Moody Rd Warner Robins, GA 31088",GA,31088,(478) 922-0161
Georgia,Christ Chapel-LaGrange,Reverend Billy T Smith,"1700 S Davis Rd Lagrange, GA 30241",GA,30241,(706) 884-5804
Georgia,Christ Mission Church,Reverend Pau Cin Thang,"1039 Rays Rd Stone Mountain, GA 30083",GA,30083,(678) 521-3965
Georgia,Christ Worship Center,Reverend Todd K Heath,"593 Vienna Highway Hawkinsville, GA 31036",GA,31036,(478) 892-7977
Georgia,Christian Fellowship Assembly,Reverend Daniel R Hocker,"3656 Chattanooga Rd Tunnel Hill, GA 30755",GA,30755,(706) 280-7594
Georgia,Christian Life Center,Reverend Corey L Shiver,"1593 Sylvester Hwy Moultrie, GA 31768",GA,31768,(229) 985-3171
Georgia,Christian Life Center Camilla,Reverend Corey L Shiver,"647 Old Ga Highway 3 Camilla, GA 31730",GA,31730,(229) 330-2767
Georgia,Church in the Orchard,Reverend M Wayne Lenderman,"881 Taylors Mill Rd Fort Valley, GA 31030",GA,31030,(478) 825-5910
Georgia,City Refuge Church,Reverend Charles E Starks,"1534 Tucker Rd Macon, GA 31220",GA,31220,(478) 474-8727
Georgia,Compel City Church,Reverend Michael E Wood,"6599 Church St Douglasville, GA 30134",GA,30134,(678) 840-8020
Georgia,Connect Church of the Assembly of God,Reverend Jason P Skipper,"5455 Campground Rd Cumming, GA 30040",GA,30040,(770) 442-8600
Georgia,Connecting Point Church,Reverend Randall T Petry,"124 S Zack Hinton Pkwy McDonough, GA 30253",GA,30253,(678) 632-3034
Georgia,Connection Church,Reverend P Anthony Hall,"2222 Dothan Rd Bainbridge, GA 39817",GA,39817,(229) 246-3045
Georgia,Cornerstone Assembly of God,Reverend Philip A Bruce,"2110 Claxton Dairy Rd Dublin, GA 31021",GA,31021,(478) 272-9111
Georgia,Cornerstone Assembly of God,,"5004 McEver Rd Oakwood, GA 30566",GA,30566,(770) 503-1111
Georgia,Cornerstone Assembly of God,Reverend Johnny L Massey,"327 Palmer St SW Pelham, GA 31779",GA,31779,
Georgia,Covenant Life Sanctuary Assembly of God,,"115 Patrick Mill Rd SW Winder, GA 30680",GA,30680,(678) 963-5086
Georgia,Cross Assembly of God,Reverend Nang Gin Mung,"3363 Midway Rd Decatur, GA 30032",GA,30032,(678) 644-3962
Georgia,Cross Connection Assembly of God,Reverend Joey H Kelly,"6812 Lafayette Rd Chickamauga, GA 30707",GA,30707,(706) 375-3485
Georgia,Crossway Worship Center,,"1514 Bacontown Rd Pembroke, GA 31321",GA,31321,(912) 653-2338
Georgia,Dahlonega Assembly of God,Reverend Steven R Landers,"2152 Dawsonville Hwy Dahlonega, GA 30533",GA,30533,(706) 864-6899
Georgia,Dexter Assembly - Dudley,Reverend Michael S Beck,"3342 US Highway 80 W Dudley, GA 31022",GA,31022,(478) 875-3284
Georgia,Dexter Assembly of God,Reverend Michael S Beck,"201 W Main St Dexter, GA 31019",GA,31019,(478) 875-3284
Georgia,EastGate Church,Reverend Joshua S Pate,"4753 Highway 5 Douglasville, GA 30135",GA,30135,(770) 942-6082
Georgia,Edgewood Assembly of God,"Reverend Walter R Wescott, Jr.","2020 Morris Rd Columbus, GA 31907",GA,31907,(706) 561-7906
Georgia,Element Church,Reverend Kelly G Ward,"1537 Pine Valley Rd Gainesville, GA 30501",GA,30501,(770) 534-2888
Georgia,Encounter Church,Reverend David E Reneau,"243 Collier Rd Toccoa, GA 30577",GA,30577,(706) 886-1100
Georgia,Encounter Life Church,,"45 Mount Carmel Rd McDonough, GA 30253",GA,30253,(678) 586-5781
Georgia,Encounter Life Church,Reverend Jacob N Gould,"620 Greison Trl Newnan, GA 30263",GA,30263,(678) 633-5995
Georgia,Evangel Church Assembly of God,Reverend Paul T Thomas,"5350 Veterans Pkwy Columbus, GA 31904",GA,31904,(706) 323-1876
Georgia,Evangel Community Church,Reverend Thomas A Galban,"3857 Centerville Rosebud Snellville, GA 30039",GA,30039,(770) 985-9044
Georgia,Evangel Community Church -Lawrenceville,Reverend Thomas A Galban,"1670 Sever Rd Lawrenceville, GA 30043",GA,30043,(770) 985-9044
Georgia,Faith Assembly,Reverend Frankie White,"3363 Midway Rd Decatur, GA 30032",GA,30032,(404) 297-0819
Georgia,Faith Assembly of God,,"160 Skyline Blvd Lyons, GA 30436",GA,30436,(912) 526-8717
Georgia,Faith Assembly of God,Reverend David T Crisp,"184 Rothell Road Ext Toccoa, GA 30577",GA,30577,(706) 886-9989
Georgia,Faith Assembly of God,,"2423 US Highway 41 S Valdosta, GA 31601",GA,31601,(229) 242-0838
Georgia,Faith Assembly of God,Reverend Jeffery A Morris,"2288 Moody Rd Warner Robins, GA 31088",GA,31088,(478) 714-5333
Georgia,Faith Mission Assembly of God,,"1270 Waldron Rd Douglas, GA 31535",GA,31535,(912) 331-1330
Georgia,Family Life Church of the Golden Isles,Reverend Emily R Rewis,"601 Old Jesup Rd Brunswick, GA 31520",GA,31520,(912) 554-0045
Georgia,Father's House Ministries,Reverend Timothy P Hogg,"1203 Royal Dr SW Conyers, GA 30094",GA,30094,(770) 785-7172
Georgia,First Assembly of God,Reverend Nicholas D Kinsey,"601 Massee Post Rd Adel, GA 31620",GA,31620,(229) 896-3935
Georgia,First Assembly of God,Reverend Ronald H Rentz,"3397 Hatch Pkwy N Baxley, GA 31513",GA,31513,(912) 366-9496
Georgia,First Assembly of God,,"69 Martin Luther King Blakely, GA 39823",GA,39823,
Georgia,First Assembly of God,Reverend W Jeffery Houston,"128 Valley St Clayton, GA 30525",GA,30525,(706) 490-3004
Georgia,First Assembly of God,Reverend Richard M Vaughn,"105 W Crawford St Colquitt, GA 39837",GA,39837,(229) 758-0316
Georgia,First Assembly of God,Reverend Robert D Boyd,"64 Holder Rd Dallas, GA 30132",GA,30132,(678) 224-8099
Georgia,First Assembly of God,,"606 N Tennille Ave Donalsonville, GA 39845",GA,39845,
Georgia,First Assembly of God,Reverend Marshall F Adcock,"1200 Chester Ave N Douglas, GA 31533",GA,31533,(912) 384-8029
Georgia,First Assembly of God,Reverend Linda D Chappell,"118 Dewey McGlamry Rd Fitzgerald, GA 31750",GA,31750,(229) 339-3861
Georgia,First Assembly of God,,"56 Charleston St Folkston, GA 31537",GA,31537,(912) 496-7188
Georgia,First Assembly of God,Reverend Glen A Wolf,"2000 W McIntosh Rd Griffin, GA 30223",GA,30223,(770) 228-2307
Georgia,First Assembly of God,Reverend Lanis Lewis,"328 May Ave Lincolnton, GA 30817",GA,30817,(706) 359-7237
