district,church_name,pastor,address,state,zip_code,phone
Illinois,2nd Chances Community Church,Reverend Jasen A Petersen,"4836 N Alby Rd Godfrey, IL 62035",IL,62035,(618) 466-0466
Illinois,Abundant Life Assembly,"Reverend James P Russell, Jr.","1409 E DeYoung St Marion, IL 62959",IL,62959,(618) 997-2136
Illinois,Abundant Life Assembly,Reverend Jesus G Quinones,"7265 171st St Tinley Park, IL 60477",IL,60477,(708) 321-0701
Illinois,Abundant Life Community Church,Reverend Joseph B Banks,"3986 Humbert Rd Alton, IL 62002",IL,62002,(618) 474-5433
Illinois,Ambassador Church,Reverend Christopher M Butler,"15910 Cottage Grove Ave South Holland, IL 60473",IL,60473,(708) 331-8881
Illinois,Anchor of Life Assembly of God,Reverend Wesley A Hart,"200 Eiler Rd Belleville, IL 62223",IL,62223,(618) 538-7195
Illinois,Ascend Church,Reverend Victor H Nogueda,"1309 W Main St Peoria, IL 61606",IL,61606,(309) 868-6618
Illinois,Assembly of God,,"605 Railroad St Augusta, IL 62311",IL,62311,(217) 392-2567
Illinois,Assembly of God,,"11270 Ava Rd Ava, IL 62907",IL,62907,(618) 426-3038
Illinois,Assembly of God,,"411 Jefferson St Bridgeport, IL 62417",IL,62417,(618) 945-3221
Illinois,Assembly of God,"Reverend Daniel J Smith, Jr.","500 E Wood St Camp Point, IL 62320",IL,62320,(217) 593-7355
Illinois,Assembly of God,Reverend Craig R Yarde,"200 Stonegate Dr Canton, IL 61520",IL,61520,(309) 647-3286
Illinois,Assembly of God,Reverend Michael G Donoho,"933 Mekeel Rd Dixon, IL 61021",IL,61021,(815) 284-3090
Illinois,Assembly of God,Reverend Steven L Prather,"730 Seminary St Flora, IL 62839",IL,62839,(618) 662-4924
Illinois,Assembly of God,Reverend Ivan E Brake,"302 SE 2nd St Galva, IL 61434",IL,61434,(309) 932-2646
Illinois,Assembly of God,Reverend Jonathan L Keck,"108 E Hickory St Industry, IL 61440",IL,61440,(309) 254-3341
Illinois,Assembly of God,Reverend Lester J Brown,"2990 Ridge Rd Lansing, IL 60438",IL,60438,(708) 895-3807
Illinois,Assembly of God,,"112 Robin Rd Macomb, IL 61455",IL,61455,(309) 575-4505
Illinois,Assembly of God,,"121 E Arch St Mason City, IL 62664",IL,62664,(217) 482-3806
Illinois,Assembly of God,Reverend Donald P Andreasen,"1400 N Green Mount Rd O Fallon, IL 62269",IL,62269,(618) 632-5584
Illinois,Assembly of God,"Reverend Allen F Bennett, II","1001 N 8th St Pawnee, IL 62558",IL,62558,(217) 625-2111
Illinois,Assembly of God,"Donald L Castleberry, Jr.","575 Piper Ln Pittsfield, IL 62363",IL,62363,(217) 285-4258
Illinois,Assembly of God,Reverend Terry A Lucas,"956 N Liberty St Rushville, IL 62681",IL,62681,(217) 322-4931
Illinois,Assembly of God,Reverend Dennis A Day,"303 Hill St Sorento, IL 62086",IL,62086,(618) 616-8726
Illinois,Assembly of God,Reverend Roger A Willis,"1201 Dean St Woodstock, IL 60098",IL,60098,(815) 338-1316
Illinois,Assembly of God Church,Reverend Stephen K Duncan,"103 N 4th St Percy, IL 62272",IL,62272,(618) 497-8169
Illinois,Atlanta Assembly of God,,"106 NW Walnut St Atlanta, IL 61723",IL,61723,(217) 871-4493
Illinois,Axess Church,Reverend Garrett A Black,"501 Hill Ave Glen Ellyn, IL 60137",IL,60137,(630) 229-2705
Illinois,Belmont Assembly of God,"Reverend Jose A Silva, Jr.","6050 W Belmont Ave Chicago, IL 60634",IL,60634,(773) 725-2116
Illinois,Bethel Assembly of God,Reverend Armand Madlangbayan,"503 W North Ave Elmhurst, IL 60126",IL,60126,(630) 834-9027
Illinois,Bethel Assembly of God,Reverend Todd A Hastings,"839 S 12th St Quincy, IL 62301",IL,62301,(217) 222-4501
Illinois,Bethel Assembly of God,Reverend Joshua T Smith,"3535 38th Ave Rock Island, IL 61201",IL,61201,(309) 793-5000
Illinois,Bethel Assembly of God,Reverend William A Mills,"131 W Elm St Sycamore, IL 60178",IL,60178,(815) 895-4740
Illinois,Bethel Gospel Tabernacle,Reverend Melvin F Flowers,"14391 Lincoln Ave Harvey, IL 60426",IL,60426,(708) 339-5130
Illinois,Bethesda Assemblee de Dieu Haitienne,Reverend Ernso Guillaumette,"900 N Wolf Rd Mount Prospect, IL 60056",IL,60056,(773) 943-2266
Illinois,Blessed Life Harvest Church,"Irineo J Abad Santos, Jr.","1100 S Fairfield Ave Lombard, IL 60148",IL,60148,(201) 674-3023
Illinois,Breath of Hope Assembly of God,Reverend Adam M Losekamp,"221 W Stevenson Dr Sparta, IL 62286",IL,62286,(618) 443-4018
Illinois,Brighton Assembly,Reverend Sara J Kallal,"1007 N Main St Brighton, IL 62012",IL,62012,(618) 334-0956
Illinois,Calvary Assembly Heights Campus,"Reverend John S Husbands, Jr.","274 201st St Chicago Heights, IL 60411",IL,60411,(708) 957-0986
Illinois,Calvary Assembly of God,,"611 McClintock Ave Belleville, IL 62220",IL,62220,(618) 277-0122
Illinois,Calvary Assembly of God,Reverend Jon S Post,"720 Miller St Carthage, IL 62321",IL,62321,(217) 604-3002
Illinois,Calvary Assembly of God,John Titus Paul Joshua,"5906 S IL Route 31 Crystal Lake, IL 60014",IL,60014,(815) 459-4456
Illinois,Calvary Assembly of God,"Reverend John S Husbands, Jr.","18620 Governors Hwy Flossmoor, IL 60422",IL,60422,(708) 957-0986
Illinois,Calvary Assembly of God,Reverend Jeffery W Morrow,"432 N Linwood Rd Galesburg, IL 61401",IL,61401,(309) 343-8568
Illinois,Calvary Campus Church,Reverend Bruce D Payne,"111 S Poplar St Carbondale, IL 62901",IL,62901,(618) 529-4395
Illinois,Calvary Church,Reverend Isidro A Casillas,"1375 State St Lemont, IL 60439",IL,60439,(630) 257-9333
Illinois,Calvary Church,Reverend Martyn V Sloan,"9S200 Route 59 Naperville, IL 60564",IL,60564,(630) 851-7000
Illinois,Calvary Church,Reverend Mark R Johnson,"1730 W Jefferson St Springfield, IL 62702",IL,62702,(217) 546-9700
Illinois,Calvary Deaf Assembly of God,Reverend Carol E Vetter,"1719 W North Ave Melrose Park, IL 60160",IL,60160,(773) 255-1311
Illinois,Calvary Lighthouse,Reverend James A Horvath,"14409 E Hemstock Rd Rochelle, IL 61068",IL,61068,(815) 562-7701
Illinois,Calvary Redemption Center,Reverend Ebenezer O Dei,"5214 Main St Skokie, IL 60077",IL,60077,(847) 674-1100
Illinois,Calvary Temple Assembly of God,"Reverend James H Knight, Jr.","5125 W Farmington Rd Peoria, IL 61604",IL,61604,(309) 676-6339
Illinois,Celebracion Iglesia,,"800 E Vernon Ave Normal, IL 61761",IL,61761,(309) 454-2402
Illinois,Celebration Church,,"9628 Irving Park Rd Schiller Park, IL 60176",IL,60176,(630) 546-9060
Illinois,CenterPointe Church,Reverend Rodney G Caswell,"1616 Veterans Ave Vandalia, IL 62471",IL,62471,(618) 283-9100
Illinois,Centre Missionnaire Sumline Church,Reverend Yanick Gil,"903 E Morton Ave Jacksonville, IL 62650",IL,62650,(217) 308-8398
Illinois,Chicago City Life Center,"Reverend E Charles Moodie, Jr.","5501 S La Salle St Chicago, IL 60621",IL,60621,(773) 324-2055
Illinois,Chicago Indian Church Assembly of God,Reverend Austin R Albertraj,"200 E Home Ave Palatine, IL 60067",IL,60067,(847) 477-8776
Illinois,Christ Center of Hope Assembly of God,Reverend Leeford Boohene,"5534 N Kedzie Ave Chicago, IL 60625",IL,60625,(773) 506-7009
Illinois,Christian Assembly of God,Reverend G Kenneth Fielding,"2929 Bethel Blvd Zion, IL 60099",IL,60099,(847) 872-3541
Illinois,Christian Life Assembly of God,Reverend Randy D Adams,"2960 E Division St Diamond, IL 60416",IL,60416,(815) 518-5441
Illinois,Christian Life Center Assemblies of God Church,Reverend Marco A Villalobos,"3409 Grove Ave Berwyn, IL 60402",IL,60402,(708) 398-3234
Illinois,Christian Life Fellowship,Reverend Scott D Love,"41625 N Deep Lake Rd Antioch, IL 60002",IL,60002,(847) 395-8572
Illinois,Church on the Rock,Reverend Joshua A Nguyen,"17N230 Manning Rd Huntley, IL 60142",IL,60142,(847) 961-6974
Illinois,City Church,Reverend Zachary D Krause,"129 E Vandalia Rd Jacksonville, IL 62650",IL,62650,(217) 245-9197
Illinois,City Church,Reverend Shane A Hawkins,"335 Sabella St Pekin, IL 61554",IL,61554,(309) 613-6275
Illinois,City First Church,Reverend Jeremy S DeWeerdt,"5950 Spring Creek Rd Rockford, IL 61114",IL,61114,(815) 877-8000
Illinois,City First Church Cape Coral,Reverend Jeremy S DeWeerdt,"121 Del Prado Blvd S Cape Coral, FL 33990",FL,33990,(815) 877-8000
Illinois,City First Church Dixon Correctional,Reverend Jeremy S DeWeerdt,"2600 N Brinton Ave Dixon, IL 61021",IL,61021,(815) 877-8000
Illinois,City First Church Hardee Correctional,Reverend Jeremy S DeWeerdt,"6901 State Road 62 Bowling Green, FL 33834",FL,33834,(815) 877-8000
Illinois,City First Church Janesville,Reverend Jeremy S DeWeerdt,"2618 Mount Zion Ave Janesville, WI 53545",WI,53545,(608) 755-7737
Illinois,City Light Church,Reverend Brandon D Arneson,"2325 N 1st St Dekalb, IL 60115",IL,60115,(815) 758-4919
Illinois,City Temple Assembly of God,"Reverend T Samuel Hart, Jr.","4751 Maryville Rd Granite City, IL 62040",IL,62040,(618) 931-1565
Illinois,Compass Church,Reverend Christopher Shandrow,"4114 E Oakland Ave Bloomington, IL 61704",IL,61704,(309) 808-1688
Illinois,Cornerstone Assembly of God,Reverend Erik P Scottberg,"196 S Moreland Rd Bethalto, IL 62010",IL,62010,(618) 377-7625
Illinois,Cross Point Church,Reverend Kevin A Diederich,"17530 W Fox Hollow Dr Lockport, IL 60441",IL,60441,(815) 838-9105
Illinois,Crossroads Assembly of God,,"8461 State Rd Burbank, IL 60459",IL,60459,(708) 599-8688
Illinois,Crossroads Assembly of God Church,"Reverend Donald R Nuttall, Sr.","615 E Ash St Elmwood, IL 61529",IL,61529,(309) 742-6409
Illinois,Crossroots Church,Reverend Rodney D Burton,"3200 S Banker St Effingham, IL 62401",IL,62401,(217) 536-6099
Illinois,Eagle Mountain Assembly of God,Reverend Darin E Elder,"401 E Sale St Tuscola, IL 61953",IL,61953,(217) 253-4444
Illinois,Emmanuel Assembly of God,,"3390 Jerome Ln Cahokia, IL 62206",IL,62206,(618) 405-0546
Illinois,Encounter Church,Reverend Stephen M McGough,"130 E McClure St Kewanee, IL 61443",IL,61443,(309) 852-3602
Illinois,Evangel Assembly of God,Reverend Ronald W Heitman,"5700 Bartels Rd Hanover Park, IL 60133",IL,60133,(630) 671-1570
Illinois,Evangel Assembly of God,Reverend Ronald W Heitman,"5700 Bartels Rd Hanover Park, IL 60133",IL,60133,(630) 671-1570
Illinois,Evangel Indian Church,Reverend Philip K Philip,"5700 Bartels Rd Hanover Park, IL 60133",IL,60133,(630) 671-1570
Illinois,Evangel Polish Church,Reverend Radomir Niewrzol,"5700 Bartels Rd Hanover Park, IL 60133",IL,60133,(630) 671-1570
Illinois,Experience Assembly of God,Reverend David M Hughes,"295 E Barnes St Bushnell, IL 61422",IL,61422,(309) 772-3246
