district,church_name,pastor,address,state,zip_code,phone
Indiana,Abundant Life,Reverend Peter M Bosworth,"7606 E 82nd St Indianapolis, IN 46256",IN,46256,(317) 845-4900
Indiana,Abundant Life Assembly of God,Reverend Troy A Boulware,"7333 Sharon Rd Newburgh, IN 47630",IN,47630,(812) 853-3437
Indiana,Abundant Life Assembly of God,Reverend Anthony L Green,"1502 Fisher Ave Warsaw, IN 46580",IN,46580,(574) 269-1563
Indiana,Access Church,Reverend Dustin J Taylor,"1402 W Main St Lebanon, IN 46052",IN,46052,(765) 481-2125
Indiana,Access Church Cloverdale,Reverend Phillip A Ray,"497 N Main St Cloverdale, IN 46120",IN,46120,(765) 795-3323
Indiana,Alfordsville Assembly of God,Reverend James A Goeppner,"8581 S 1125 E Loogootee, IN 47553",IN,47553,(812) 631-1580
Indiana,Assembly of God,Reverend Troy B Teague,"223 N Main St Clinton, IN 47842",IN,47842,(765) 832-7424
Indiana,Assembly of God,Reverend James M Winters,"9181 S Gore Rd Harrodsburg, IN 47434",IN,47434,(812) 824-9825
Indiana,Assembly of God,Reverend Jeremy B Turner,"519 S Main St Kirklin, IN 46050",IN,46050,(765) 279-8010
Indiana,Assembly of God,"Reverend Roger D Coleman, Jr.","244 E Boyd Blvd Laporte, IN 46350",IN,46350,(219) 362-6792
Indiana,Assembly of God,Reverend Deborah J Lopez,"1503 A St NE Linton, IN 47441",IN,47441,(812) 847-7901
Indiana,Assembly of God,,"610 W Prairie Lyons, IN 47443",IN,47443,(812) 659-2250
Indiana,Assembly of God,"Reverend Jeffry Clem, Sr.","1701 S State Road 135 Salem, IN 47167",IN,47167,(812) 620-1363
Indiana,Assembly of God,Reverend David L Dyer,"303 Canal St Worthington, IN 47471",IN,47471,(812) 875-2265
Indiana,Assembly of God Church,,"1405 Williams St Angola, IN 46703",IN,46703,(260) 665-9998
Indiana,Bethel Assembly of God,Reverend David W Lade,"600 E Bristol St Elkhart, IN 46514",IN,46514,(574) 264-1892
Indiana,Bethel Assembly of God,Reverend Michael S Pieart,"1640 E Taylor St Huntington, IN 46750",IN,46750,(260) 356-8363
