district,church_name,pastor,address,state,zip_code,phone
Kansas,360 Church,Reverend Sabian C Chaney,"3200 Clinton Pkwy Lawrence, KS 66047",KS,66047,(785) 843-7189
Kansas,Abundant Life Assembly of God,Reverend Daniel L Wakefield,"12400 Antioch Rd Overland Park, KS 66225",KS,66225,(913) 685-5800
Kansas,Anchor Church,Reverend Alex T Graves,"4120 Clinton Pkwy Lawrence, KS 66047",KS,66047,(785) 813-6097
Kansas,Assembly of God,Reverend Vernon E Kampe,"206 N Garfield St Attica, KS 67009",KS,67009,(316) 617-3514
Kansas,Assembly of God,,"302 S Central St Coldwater, KS 67029",KS,67029,(620) 582-2463
Kansas,Assembly of God,Reverend Douglas R Melugin,"500 Galena Ave Galena, KS 66739",KS,66739,(620) 783-2349
Kansas,Assembly of God,"Reverend Charles Patterson, II","409 E 6th St Le Roy, KS 66857",KS,66857,(620) 964-2611
Kansas,Assembly of God,Reverend Larry J Schumacher,"120 N State St Lyons, KS 67554",KS,67554,(620) 617-4108
Kansas,Assembly of God,Reverend Marcia L Reynolds,"305 E Summer Morland, KS 67650",KS,67650,
Kansas,Assembly of God,Reverend Royce F Leitner,"120 S Buffalo Ave Oberlin, KS 67749",KS,67749,(785) 475-1371
Kansas,Assembly of God,Reverend Michael E Krager,"125 S Oak St Osborne, KS 67473",KS,67473,(785) 346-2808
Kansas,Assembly of God,Reverend Steven B McBrien,"1323 4th St Oswego, KS 67356",KS,67356,(620) 795-2307
Kansas,Assembly of God,,"220 W Lawrence St Tribune, KS 67879",KS,67879,(620) 400-4208
Kansas,Assembly of God Church,Reverend Timothy R Singer,"138 S Main St Hugoton, KS 67951",KS,67951,(620) 544-2773
Kansas,Assembly of God Kansas Ministry Net,,"3810 Walker Ave Maize, KS 67101",KS,67101,(316) 945-8999
Kansas,Assembly of God of Ellsworth,Chaplain Exie E Barber,"106 W 8th St Ellsworth, KS 67439",KS,67439,(785) 472-3232
Kansas,Assembly of God Scott City,,"1611 S Main St Scott City, KS 67871",KS,67871,(620) 276-3371
Kansas,Bethel Assembly of God,Reverend Jeroham K Bawi,"1315 N 64th St Kansas City, KS 66102",KS,66102,(913) 788-7988
Kansas,Bethel Life Center Assembly of God,"Reverend Kenneth E Squires, Jr.","3777 S Meridian Ave Wichita, KS 67217",KS,67217,(316) 522-7148
Kansas,Calvary Chapel Assembly of God,Reverend James R Alexander,"540 N Ober St Russell, KS 67665",KS,67665,(785) 483-1726
Kansas,Calvary Temple,Reverend James E Farris,"800 S 1st St Hiawatha, KS 66434",KS,66434,(785) 742-3953
Kansas,Calvary Temple Assembly of God,Reverend Shannon P Watterson,"606 W 29th Ter Lawrence, KS 66046",KS,66046,(785) 832-2817
Kansas,Calvary Temple Assembly of God,Reverend Bobby R Darnell,"6227 N Longmont St Park City, KS 67219",KS,67219,(316) 323-2512
Kansas,Church in the City,Reverend J Dayton Poe,"12521 W Hardtner Ct Wichita, KS 67235",KS,67235,(316) 644-2321
Kansas,City Center Church Assemblies of God,,"17500 W 87th St Lenexa, KS 66219",KS,66219,(913) 888-1559
Kansas,College Drive Assembly of God,Reverend Wade R Moss,"245 W College Dr Colby, KS 67701",KS,67701,(785) 462-8234
Kansas,Colonial Heights Assembly of God,Reverend Mark A Combs,"5200 S Broadway St Wichita, KS 67216",KS,67216,(316) 524-3068
Kansas,Cornerstone Family Worship,Reverend Ron L Swaim,"205 E Highway 24-40 Tonganoxie, KS 66086",KS,66086,(913) 369-2600
Kansas,Covenant Assembly of God,Reverend Remon R Baseleous,"400 Coronado St Kingman, KS 67068",KS,67068,(620) 532-2115
Kansas,Cristo Vive Asamblea de Dios,Reverend Hector A Castro,"1620 W 21st St N Wichita, KS 67203",KS,67203,(316) 832-0606
Kansas,Cross Connection Church,Reverend Joshua D Smith,"3500 N 14th Ave Dodge City, KS 67801",KS,67801,(620) 471-4777
