district,church_name,pastor,address,state,zip_code,phone
Minnesota,Abundant Life Assembly of God,Reverend Duane L Smith,"2929 Pebble Lake Rd Fergus Falls, MN 56537",MN,56537,(218) 736-3928
Minnesota,Abundant Life Church,Reverend Zachary M Day,"1637 E 40th St Hibbing, MN 55746",MN,55746,(218) 263-5433
Minnesota,Access Church,Reverend Shaheen Y Eydgahi,"4359 392nd St North Branch, MN 55056",MN,55056,(651) 674-7531
Minnesota,Aitkin Assembly of God,Reverend Andrew P Jergenson,"34588 US Highway 169 Aitkin, MN 56431",MN,56431,(218) 429-0444
Minnesota,Akina Community Church,Reverend Daniel L Pack,"3249 30th Ave S Minneapolis, MN 55406",MN,55406,(612) 729-0189
Minnesota,All Nations Christian Assembly,Reverend Earlsworth Letang,"1418 28th Ave NE Minneapolis, MN 55418",MN,55418,(612) 584-3612
Minnesota,Amazing Grace Assembly of God,Reverend Peter M Carlson,"1237 Earl St Saint Paul, MN 55106",MN,55106,(651) 778-1768
Minnesota,Answer in Jesus Church,Reverend Vasiliy Skorykh,"10533 Foley Blvd Coon Rapids, MN 55448",MN,55448,(763) 300-6374
Minnesota,Artisan Church,Reverend Samuel L Grosso,"1105 117th Ave NE Blaine, MN 55434",MN,55434,(651) 276-2465
Minnesota,Assemblies of God Church of Albert Lea,Reverend Ryan S Quigley,"1540 S Shore Dr Albert Lea, MN 56007",MN,56007,(507) 373-7989
Minnesota,Assemblies of God of Wadena,Reverend Nathan R Currier,"419 1st St NW Wadena, MN 56482",MN,56482,(218) 631-2896
Minnesota,Assembly of God,Reverend Dakota J Swinton,"1213 13th Ave Clarkfield, MN 56223",MN,56223,(906) 322-8867
Minnesota,Assembly of God,"Reverend Donald R Nuttall, Jr.","205 Central Ave S Eagle Bend, MN 56446",MN,56446,(218) 738-3332
Minnesota,Assembly of God,Reverend James M Wolfe,"1620 11th Ave Granite Falls, MN 56241",MN,56241,(320) 564-3458
Minnesota,Assembly of God,Reverend Chad R Larson,"1106 S Birch Ave Hallock, MN 56728",MN,56728,(218) 843-2146
Minnesota,Assembly of God,Reverend Timothy A Wilson,"208 Western Ave S Park Rapids, MN 56470",MN,56470,(218) 732-8818
Minnesota,Assembly of God,Reverend Roy J Miles,"914 3rd Ave NE Staples, MN 56479",MN,56479,(218) 894-1081
Minnesota,Assembly of God,Reverend Dann M Pageler,"623 N Main St Warren, MN 56762",MN,56762,(218) 201-0959
Minnesota,Assembly of God Church,Reverend Benjamin A Morgan,"29 Babbitt Rd Babbitt, MN 55706",MN,55706,(218) 827-2166
Minnesota,Beaver Bay Community Church,Reverend John J Szurpicki,"500 Eleanor St Beaver Bay, MN 55601",MN,55601,(218) 226-4895
Minnesota,Benson Assembly of God,Reverend Paul L Peterson,"1200 13th St N Benson, MN 56215",MN,56215,(320) 297-4457
Minnesota,Bethel's Rock,Reverend James D Biffert,"14201 Cedar Ave Apple Valley, MN 55124",MN,55124,(952) 432-4332
Minnesota,Bethel's Rock,Reverend James D Biffert,"6300 212th St W Farmington, MN 55024",MN,55024,(612) 866-3227
Minnesota,Bethel's Rock,Reverend James D Biffert,"7601 Girard Ave S Richfield, MN 55423",MN,55423,(612) 866-3227
Minnesota,Bethel's Rock Church Cannon Falls,Reverend Brandon J Allison,"32057 64th Ave Cannon Falls, MN 55009",MN,55009,(612) 614-3979
Minnesota,Bethel's Rock En Espanol,Reverend James D Biffert,"14201 Cedar Ave Apple Valley, MN 55124",MN,55124,(612) 866-3227
Minnesota,Blessings Church,Reverend Mark J Olson,"28164 Hwy 22 N Litchfield, MN 55355",MN,55355,(320) 593-2202
Minnesota,Bluff Country Church,Jennifer E Kimball-Olson,"607 Kenilworth Ave S Apt 11 Lanesboro, MN 55949",MN,55949,(507) 421-3060
Minnesota,Bridgeview Assembly of God,Reverend Stephen T Royalty,"20500 County Road 11 Big Lake, MN 55309",MN,55309,(763) 263-6274
Minnesota,Brookdale Christian Center Assembly of God,Reverend Zinna N Abedu-Bentsi,"6030 Xerxes Ave N Brooklyn Center, MN 55430",MN,55430,(763) 350-3841
Minnesota,Canvas Church,Reverend Jedidiah J McGuire,"404 Schilling Dr N Dundas, MN 55019",MN,55019,(507) 301-7500
Minnesota,Canvas Church Mankato,Reverend Matthew L Sims,"1400 Madison Ave Ste 622 Mankato, MN 56001",MN,56001,(507) 779-7155
Minnesota,Casino Assembly of God,Reverend Daniel S Johnson,"10387 49th Ave SW Pillager, MN 56473",MN,56473,(218) 746-3839
Minnesota,Cedar Valley Church Bloomington,Reverend Neal J Rich,"8600 Bloomington Ave S Bloomington, MN 55425",MN,55425,(952) 854-1100
Minnesota,Celebration Church,Reverend Derrick R Ross,"16655 Kenyon Ave Lakeville, MN 55044",MN,55044,(952) 898-7200
Minnesota,Center Point Church,Reverend David R Savage,"810 3rd Ave Mountain Lake, MN 56159",MN,56159,(507) 427-2215
Minnesota,Central Haven Church,Reverend Stewart E Burns,"103 Hayes Ave New York Mills, MN 56567",MN,56567,(218) 385-2033
Minnesota,Centro Cristiano Nueva Esperanza de Las Asamblea de Dios,Reverend Victor A Hilario,"700 Wesley Ln Mendota Heights, MN 55118",MN,55118,(952) 201-4181
Minnesota,Chisholm Assembly of God,Reverend John R Sundquist,"430 Iron Dr Chisholm, MN 55719",MN,55719,(218) 254-0026
Minnesota,Christ Church International,Reverend Darrell J Geddes,"3015 13th Ave S Minneapolis, MN 55407",MN,55407,(612) 722-6687
Minnesota,Christ Church International,Reverend Darrell J Geddes,"3015 13th Ave S Minneapolis, MN 55407",MN,55407,(612) 722-6687
Minnesota,Christian Way Fellowship Assembly of God,,"9996 Elm St Meadowlands, MN 55765",MN,55765,(218) 427-2225
Minnesota,Church on the Hill,,"950 Trumble St Chaska, MN 55318",MN,55318,(952) 314-9354
Minnesota,City Hope Church  - East Side,Reverend Carol Jean Smith,"413 Franklin Ave NE Saint Cloud, MN 54304",MN,54304,(320) 203-7887
Minnesota,Community Celebration Church Assemblies of God,Reverend Steven T Larson,"27337 County Highway 34 Kasson, MN 55944",MN,55944,(507) 634-1463
Minnesota,Connection Pointe,Justin T Petrali,"3477 10th St NE Buffalo, MN 55313",MN,55313,(763) 202-0648
Minnesota,Corner Church,Reverend Scott S Woller,"Corner Coffee 514 N 3rd St Ste 102 Minneapolis, MN 55401",MN,55401,(612) 801-9233
Minnesota,Corner Church Camden,Reverend Rachel L Bundy,"4155 Thomas Ave N Minneapolis, MN 55412",MN,55412,(612) 361-6718
Minnesota,Corner Church Downtown,Reverend Gregory J Barber,"905 Nicollet Mall Minneapolis, MN 55402",MN,55402,(612) 801-9233
Minnesota,Corner Church in Uptown,,"1414 W 28th St Minneapolis, MN 55408",MN,55408,(612) 361-6718
Minnesota,Corner Church Northeast,,"2226 Central Ave NE Minneapolis, MN 55418",MN,55418,(612) 361-6718
Minnesota,Cornerstone Assembly,Reverend Richard M Broberg,"403 Main St SW Baudette, MN 56623",MN,56623,(218) 634-9809
Minnesota,Cornerstone Assembly of God,Reverend David T Simerson,"1403 1st Ave SW Austin, MN 55912",MN,55912,(507) 433-7008
Minnesota,Cornerstone Assembly of God,Reverend David T Simerson,"1403 1st Ave SW Austin, MN 55912",MN,55912,(507) 433-7008
Minnesota,Creative Love Church,,"8800 Nicollet Ave S Bloomington, MN 55420",MN,55420,(952) 270-5120
Minnesota,Crosslake Christian Assembly of God,Reverend Gary L Espeseth,"13919 County Road 36 Crosslake, MN 56442",MN,56442,(218) 692-4673
Minnesota,Crossroads Church,Reverend John A Hubert,"3354 Laurel Dr NW Bemidji, MN 56601",MN,56601,(218) 444-8205
Minnesota,Crossroads Church,Reverend David P Ciske,"721 Weston Ave Saint James, MN 56081",MN,56081,(507) 721-3139
Minnesota,Crowded House Church,Reverend Trent J Redmann,"9062 Red Oak Trl Woodbury, MN 55129",MN,55129,(651) 206-8110
Minnesota,Crystal Hills Assembly,Reverend G Daniel Courtney,"26754 E State Highway 55 Paynesville, MN 56362",MN,56362,(320) 243-3513
Minnesota,Cuyuna Lakes Community Church,Reverend Dustin R McCaleb,"604 Oak St Crosby, MN 56441",MN,56441,(320) 226-8656
Minnesota,Deaf Life Church - Faribault,Reverend Emory K Dively,"722 Ravine St Faribault, MN 55021",MN,55021,(612) 424-4197
Minnesota,Deaf Life Church - Faribault,Reverend Emory K Dively,"722 Ravine St Faribault, MN 55021",MN,55021,(612) 424-4197
Minnesota,Deaf Life Church - Long Island,Reverend Ebby Johnson,"157 Ohio St Hicksville, NY 11801",NY,11801,(612) 424-4197
Minnesota,Deaf Life Church - Rochester,Reverend Emory K Dively,"4240 18th Ave NW Rochester, MN 55901",MN,55901,(612) 424-4197
Minnesota,Deaf Life Church - Rochester,Reverend Emory K Dively,"4240 18th Ave NW Rochester, MN 55901",MN,55901,(612) 424-4197
Minnesota,Deaf Life Church - St Cloud,Reverend Emory K Dively,"2409 Clearwater Rd Saint Cloud, MN 56301",MN,56301,(612) 424-4197
Minnesota,Deaf Life Church - St Cloud,Reverend Emory K Dively,"2409 Clearwater Rd Saint Cloud, MN 56301",MN,56301,(612) 424-4197
Minnesota,Deaf Life Church - St Paul,Reverend Emory K Dively,"536 Snelling Ave S Saint Paul, MN 55116",MN,55116,(612) 424-4197
Minnesota,Deaf Life Church - St Paul,Reverend Emory K Dively,"536 Snelling Ave S Saint Paul, MN 55116",MN,55116,(612) 424-4197
Minnesota,Eagle's Landing Assembly of God,Reverend Michael T Stevens,"30970 Arctic Rd Ball Club, MN 56636",MN,56636,(218) 246-2511
Minnesota,Echo Church,Reverend Andrew M Cass,"2171 Superior Dr NW Rochester, MN 55901",MN,55901,(507) 208-1980
Minnesota,Eden Prairie Assembly of God,Christopher M Cleveland,"16591 Duck Lake Trl Eden Prairie, MN 55346",MN,55346,(952) 934-2327
Minnesota,Elevate Church,Reverend Hang K Lee,"2490 7th Ave E North St Paul, MN 55109",MN,55109,(612) 584-1804
Minnesota,Emmanuel Christian Center - Lakeville Area,Reverend Nathaniel P Ruch,"17297 Glacier Way Rosemount, MN 55068",MN,55068,(651) 829-3947
Minnesota,Emmanuel Christian Center Assembly of God,Reverend Nathaniel P Ruch,"7777 University Ave NE Minneapolis, MN 55432",MN,55432,(763) 784-7777
Minnesota,Emmanuel Christian Center Elk River,Reverend Nathaniel P Ruch,"18912 Twin Lakes Rd NW Elk River, MN 55330",MN,55330,(763) 241-1111
Minnesota,Emmanuel Christian Center Maple Grove,Reverend Nathaniel P Ruch,"14320 93rd Ave N Maple Grove, MN 55369",MN,55369,(763) 420-3777
Minnesota,Eternal Life of Christ,Reverend Kadtsim Her,"1510 Payne Ave Saint Paul, MN 55130",MN,55130,(651) 793-6394
Minnesota,Fairmont Assembly of God,Reverend Pedro R Ortega,"515 E 5th St Fairmont, MN 56031",MN,56031,(507) 235-8826
Minnesota,Faith Hill Assembly of God,Reverend John T Swanson,"471 Schilling Rd SE Bagley, MN 56621",MN,56621,(218) 694-2046
Minnesota,Family Life Church of the Assemblies of God,Reverend Amos R Self,"402 NE Clark Dr Verndale, MN 56481",MN,56481,(218) 445-5568
Minnesota,Family Worship Church,Reverend John D Venzke,"4580 S Arrowhead Ln Moose Lake, MN 55767",MN,55767,(218) 485-6033
Minnesota,Fireside Fellowship,,"190 Johnson Ave NW Cokato, MN 55321",MN,55321,(320) 286-2565
Minnesota,First Assembly of God,Reverend Paul M Rose,"1015 4th St SE Bemidji, MN 56601",MN,56601,(218) 751-2485
Minnesota,First Hmong Assembly of God,Reverend Jerchah Heurh,"1630 Geranium Ave E Saint Paul, MN 55106",MN,55106,(651) 771-2672
Minnesota,Forever Church,Reverend Daniel K Juul,"19601 105th Ave Corcoran, MN 55374",MN,55374,(952) 270-7578
Minnesota,Friendship Assembly of God,Reverend John M Gerbec,"210 W Central Dr Braham, MN 55006",MN,55006,(320) 496-1103
Minnesota,Gaagige Bimaadiziwin (Everlasting Life) Church - White Earth,Reverend Lowell P Laudert,"35689 County Highway 21 White Earth, MN 56591",MN,56591,(218) 983-4390
Minnesota,Gaagige Bimaadiziwin Church - Rice Lake,Reverend Lowell P Laudert,"26286 County 7 Bagley, MN 56621",MN,56621,(218) 983-4390
Minnesota,Gateway Assembly Church,Reverend Christopher Thoresen,"1309 3rd Ave International Falls, MN 56649",MN,56649,(218) 283-2131
Minnesota,Gaylord Assembly of God,Reverend A Robert Holmbeck,"26958 State Highway 5 Gaylord, MN 55334",MN,55334,(507) 237-5341
Minnesota,Generations Community Church,Reverend Ryan R Crouse,"201 Centennial Dr Isanti, MN 55040",MN,55040,(612) 245-5293
Minnesota,Global Harvest Outreach,Reverend Earnest E Jeyaraja,"Westwood Bushlake Campus 6301 Cecilia Cir Bloomington, MN 55439",MN,55439,(612) 207-7742
