district,church_name,pastor,address,state,zip_code,phone
Mississippi,Antioch Assembly of God,Reverend Tamber K Proctor,"2130 Waynesboro Shubuta Waynesboro, MS 39367",MS,39367,(601) 735-3864
Mississippi,Assembly of God,Reverend Edward L Shoemaker,"721 Walker Ave Stonewall, MS 39363",MS,39363,(601) 659-7989
Mississippi,Barton Assembly of God,Reverend Steven K Jones,"Barton-Agricola Rd Barton, MS 39452",MS,39452,(601) 947-5540
Mississippi,Bay Springs Assembly of God,Reverend Sammy G Amos,"82 Highway 531 Bay Springs, MS 39422",MS,39422,(601) 764-6460
Mississippi,Bethel Assembly of God,,"2511 Broadway Ext N Greenville, MS 38703",MS,38703,(662) 336-7117
Mississippi,Bethel Assembly of God,Reverend Edward R Gatlin,"604 Matherville Diamond Waynesboro, MS 39367",MS,39367,(601) 410-0165
Mississippi,Bogue Chitto Assembly of God,Reverend David E Boyd,"72 Bogue Chitto Rd Bogue Chitto, MS 39629",MS,39629,(601) 248-2433
Mississippi,Brandon Assembly of God,"Reverend Dennis C Phillips, Jr.","995 S College St Brandon, MS 39042",MS,39042,(601) 825-8188
Mississippi,Byram Assembly of God,,"5363A I 55 S Byram, MS 39272",MS,39272,(601) 540-5190
Mississippi,Calvary Assembly of God,Reverend David L Bryant,"411 Morris Tullos Dr Morton, MS 39117",MS,39117,(601) 854-7269
Mississippi,Calvary Temple Assembly of God,,"1527 12th Ave Meridian, MS 39301",MS,39301,(601) 604-3040
Mississippi,Canaan Assembly of God,Reverend James E Kelly,"2306 E Chambers Dr Booneville, MS 38829",MS,38829,(662) 401-2743
Mississippi,Canaan Assembly of God,Reverend Rodney F Coleman,"13602 Highway 613 Moss Point, MS 39562",MS,39562,(228) 474-1040
Mississippi,Cathedral Assembly of God,Reverend James M Gordon,"3605 Highway 45 N Meridian, MS 39301",MS,39301,(601) 482-3240
Mississippi,Cedar Lake Christian Assembly,Reverend Murphy R Matheny,"11555 Cedar Lake Rd Biloxi, MS 39532",MS,39532,(228) 392-6279
Mississippi,Celebrate Church,Reverend Dexter J Bambera,"2001 Old Vicksburg Rd Clinton, MS 39056",MS,39056,(601) 924-2808
Mississippi,Centro de Adoracion Emanuel,Reverend Jesus Amador,"1900 Dunbarton Dr Ste C Jackson, MS 39216",MS,39216,(786) 296-1338
Mississippi,Chihowa I Chuka Assembly of God,,"Hwy 16 W Philadelphia, MS 39350",MS,39350,(601) 416-1454
Mississippi,Christian Assembly of God,,"Hwy 2 - 5 Miles E Corinth, MS 38834",MS,38834,(662) 287-4117
