district,church_name,pastor,address,state,zip_code,phone
Nebraska,Abundant Grace Assembly of God,,"47464 US Highway 20 Atkinson, NE 68713",NE,68713,(402) 775-2267
Nebraska,Assembly of God,Reverend Gary D Graesser,"Second & Pine Sts Ainsworth, NE 69210",NE,69210,(402) 387-2584
Nebraska,Assembly of God,,"200 W Cedar St Big Springs, NE 69122",NE,69122,(308) 889-3385
Nebraska,Assembly of God,Reverend Rick D Johnson,"606 S 3rd Ave Broken Bow, NE 68822",NE,68822,(308) 872-5332
Nebraska,Assembly of God,Reverend Kevin C Jacobs,"1202 4th St Chappell, NE 69129",NE,69129,(308) 874-3285
Nebraska,Assembly of God,"Reverend Alvin I Koski, Jr.","417 Francis Dalton, NE 69131",NE,69131,(308) 377-2300
Nebraska,Assembly of God,Reverend Lamoin E Lytle,"303 A St Milford, NE 68405",NE,68405,(402) 761-2664
Nebraska,Assembly of God,,"Second & Murray Taylor, NE 68879",NE,68879,(308) 942-6082
Nebraska,Believe Assembly of God,Reverend Amber M Rogers,"500 Broad St Jansen, NE 68377",NE,68377,(402) 418-1923
Nebraska,Bellevue Christian Center,Reverend Andrew J Kaup,"1400 Harvell Dr Bellevue, NE 68005",NE,68005,(402) 291-0616
Nebraska,Bethel Assembly of God,,"701 Kuhn Ave Thedford, NE 69166",NE,69166,(308) 645-2241
Nebraska,Burton Assembly of God,,"90299 Vine St Burton, NE 68778",NE,68778,(402) 497-3424
Nebraska,Calvary Assembly of God,Reverend John M Lynn,"1345 E 3rd St Alliance, NE 69301",NE,69301,(308) 762-1497
Nebraska,Calvary Assembly of God,Chaplain Christopher R Adams,"1304 N Adams St Lexington, NE 68850",NE,68850,(308) 324-5310
Nebraska,Calvary Christian Center Assembly of God,Reverend Adam J Blondo,"1721 7th St Auburn, NE 68305",NE,68305,(402) 274-4248
Nebraska,Centro Internacional Casa de Oracion Assembly of God,Reverend Omar Macias,"301 E 39th St South Sioux City, NE 68776",NE,68776,(402) 404-0434
Nebraska,Centro Rios de Alabanza,Reverend J Trinidad Sotelo,"4001 S 24th St Omaha, NE 68107",NE,68107,(402) 212-6574
Nebraska,Christ Community Church Assembly of God,Reverend Stephen A Mallery,"710 6th St Crawford, NE 69339",NE,69339,(308) 665-1232
Nebraska,Christ Place,"Reverend Richard S Lorimer, II","1111 Old Cheney Rd Lincoln, NE 68512",NE,68512,(402) 421-1111
Nebraska,Christ Place - Van Dorn Campus,,"5555 Roose St Lincoln, NE 68506",NE,68506,(402) 421-1111
Nebraska,Collective Church,Reverend Drew M Milliken,"16420 Burdette Cir Omaha, NE 68116",NE,68116,(402) 915-0975
Nebraska,Connections Church,,"1900 Jackson St Beatrice, NE 68310",NE,68310,(402) 806-4525
Nebraska,Cornerstone Assembly of God,Reverend David H Cumming,"805 S Thurston Ave Pender, NE 68047",NE,68047,(402) 385-3312
Nebraska,Cornerstone Church,Reverend Blake E Armstrong,"225 N 56th Rd Nebraska City, NE 68410",NE,68410,(402) 873-6122
Nebraska,Cornerstone Fellowship,Reverend Amy L Gosnell,"434 1st Ave Bayard, NE 69334",NE,69334,(308) 586-1340
Nebraska,Crossroads Assembly,Reverend Paul D Maunu,"404 E Highway 20 Valentine, NE 69201",NE,69201,(402) 376-2905
Nebraska,Crossroads Fellowship International Church,Reverend W Patrice Kabore,"9625 Ida St Omaha, NE 68122",NE,68122,(402) 577-1362
Nebraska,Cultivate Church,Reverend Robert B Cunningham,"5621 Buffalo Cir Lincoln, NE 68516",NE,68516,(636) 234-6047
Nebraska,Destiny Church,Reverend Timothy M Rust,"4306 W US Highway 30 Grand Island, NE 68803",NE,68803,(308) 675-1380
Nebraska,Emmanuel Assembly of God,Reverend Maria Celia Merino,"1304 N Adams St Lexington, NE 68850",NE,68850,(308) 324-5310
Nebraska,Epic Church Lincoln,,"6601 S 70th St Lincoln, NE 68516",NE,68516,(402) 795-1300
Nebraska,First Assembly of God,,"811 E C St McCook, NE 69001",NE,69001,(308) 345-5734
Nebraska,First Assembly of God,Reverend Kevin H Alexander,"1709 E 27th St Scottsbluff, NE 69361",NE,69361,(308) 632-4426
Nebraska,Flatland Church,Reverend Bartley K Wilkins,"4801 N 144th St Omaha, NE 68116",NE,68116,(402) 492-9111
Nebraska,Full Gospel Church,Reverend R Mark Hoffman,"320 Lincoln St Ewing, NE 68735",NE,68735,(402) 626-7505
Nebraska,Full Life Assembly of God,Reverend Johnathon J Hartung,"2380 N Seaton St Fremont, NE 68025",NE,68025,(402) 721-1010
Nebraska,Gather At The Table,Reverend Christine M Ford,"1122 Howard St Omaha, NE 68102",NE,68102,(402) 960-6270
Nebraska,Geneva Connect Church,Reverend Joshua W Yankus,"510 N 15th St Geneva, NE 68361",NE,68361,(402) 759-5078
Nebraska,Good News Assembly of God,Reverend Timothy R Boatright,"601 Reavis St Falls City, NE 68355",NE,68355,(402) 245-3977
Nebraska,Good News Church Group,Reverend Jason T Carter,"7415 Hickory St Omaha, NE 68124",NE,68124,(402) 391-6515
Nebraska,Heartland Assembly of God,Reverend Thomas L Burkholder,"911 S 12th St Ord, NE 68862",NE,68862,(308) 728-7036
Nebraska,Iglesia Palabra de Vida Assembly of God,Reverend Miguel Chavez,"4807 29th St Columbus, NE 68601",NE,68601,(402) 270-4553
Nebraska,Lighthouse Assembly of God,,"710 Walnut Butte, NE 68722",NE,68722,(402) 775-2267
Nebraska,Living Hope Assembly of God,Patrick D Volquartsen,"10194 US Highway 75 Blair, NE 68008",NE,68008,(402) 426-4566
Nebraska,Living Hope Assembly of God,Reverend Brent E Graves,"1800 Kiowa Ln Cozad, NE 69130",NE,69130,(308) 784-4761
Nebraska,Living Springs Community Church,Reverend Charles E Lewis,"305 N Walnut St Red Cloud, NE 68970",NE,68970,(402) 746-5115
Nebraska,Mullen Assembly of God Church,Reverend Benjamin A Hart,"208 NW 1st Ave Mullen, NE 69152",NE,69152,(308) 546-2253
Nebraska,Nebraska Min Network,,"1006 N Airport Rd Lexington, NE 68850",NE,68850,(308) 384-1234
