district,church_name,pastor,address,state,zip_code,phone
North Dakota,Abundant Life Assembly of God,,"106 3rd St N Hettinger, ND 58639",ND,58639,(701) 567-4348
North Dakota,All Nations Assembly of God,Reverend Isaac Charles Sevlie,"121 48Th Ave SE Bismarck, ND 58504",ND,58504,(701) 250-8797
North Dakota,All Nations Assembly of God,Reverend Paul J Agamiri,"2410 Great Northern Dr N Fargo, ND 58102",ND,58102,(218) 790-2582
North Dakota,Assembly of God,Reverend Ed M Kvaale,"606 4th St SW Bowman, ND 58623",ND,58623,(701) 523-5544
North Dakota,Assembly of God,Michael L Rohrer,"1107 2nd Ave Cando, ND 58324",ND,58324,(701) 968-3594
North Dakota,Assembly of God,Reverend Leslie D Anderson,"401 S Main Crosby, ND 58730",ND,58730,(701) 965-6535
North Dakota,Assembly of God,,"311 S Main St Elgin, ND 58533",ND,58533,(701) 584-2276
North Dakota,Assembly of God,Reverend Mark A Flaten,"Hwy 32 N Finley, ND 58230",ND,58230,(701) 524-1124
North Dakota,Assembly of God,Reverend Matthew D Aufenkamp,"1593 Griggs Ave Grafton, ND 58237",ND,58237,(701) 352-0867
North Dakota,Assembly of God,Reverend J Kevin Shumway,"1020 Millenium Dr Harvey, ND 58341",ND,58341,(701) 324-4985
North Dakota,Assembly of God,,"108 2nd St SW Kulm, ND 58456",ND,58456,(701) 647-2734
North Dakota,Assembly of God,,"7895 7th Ave SE Linton, ND 58552",ND,58552,(701) 254-4190
North Dakota,Assembly of God,Charles F Springer,"324 Avenue B E McClusky, ND 58463",ND,58463,(701) 363-2417
North Dakota,Assembly of God,Reverend Stephen W Denn,"145 N Main St Regan, ND 58477",ND,58477,(701) 204-1768
North Dakota,Assembly of God,Reverend Eugene D Wilson,"Sixth & State Rolette, ND 58366",ND,58366,(701) 246-3250
North Dakota,Assembly of God,"Reverend Randolph L Hahne, Sr.","112 1st Ave North Selfridge, ND 58568",ND,58568,(605) 840-9004
North Dakota,Assembly of God,,"100 South Ave Stanton, ND 58571",ND,58571,(701) 745-3766
North Dakota,Assembly of God,Reverend Andrew D Sheldon,"19 4th St NW Tioga, ND 58852",ND,58852,(701) 664-2604
North Dakota,Assembly of God,Reverend Alan R Klitzke,"300 5th St Walhalla, ND 58282",ND,58282,(701) 549-3113
North Dakota,Assembly of God,Reverend Dustin G Harper,"Hwy 85 S Watford City, ND 58854",ND,58854,(701) 842-3353
North Dakota,Bethel Assembly of God,Reverend Donald H Hill,"129 2nd Ave SE Ashley, ND 58413",ND,58413,(605) 520-4384
North Dakota,Bethel Assembly of God,Reverend Kevin A Gustafson,"70 Poplar Ave S Carrington, ND 58421",ND,58421,(701) 652-3026
North Dakota,Bethel Assembly of God,Reverend Tony Sifuentes,"203 F St S Glen Ullin, ND 58631",ND,58631,(701) 348-3334
North Dakota,Bethel Assembly of God,Reverend James D McEachran,"200 Shady Ln Mandan, ND 58554",ND,58554,(701) 663-0303
North Dakota,Capital Church,"Reverend Clarence D Kent, II","3838 Jericho Rd Bismarck, ND 58503",ND,58503,(701) 255-1388
North Dakota,Cavalier Assembly of God,Reverend Rodney L Madding,"605 Main St W Cavalier, ND 58220",ND,58220,(701) 270-8675
North Dakota,Cielos Abiertos,Reverend Liliana Rodriguez,"59 Osborn Dr Dickinson, ND 58601",ND,58601,(701) 590-1781
North Dakota,Dazey Assembly of God,Reverend Foster W Beckstrand,"224 5TH St Dazey, ND 58429",ND,58429,(701) 733-2158
North Dakota,Evangel,Reverend Joshua D Skjoldal,"3225 N 14th St Bismarck, ND 58503",ND,58503,(701) 255-0500
North Dakota,Evangel Dickinson Campus,Reverend Logan K Gross,"3225 N 14th St Bismarck, ND 58503",ND,58503,(701) 255-0500
