district,church_name,pastor,address,state,zip_code,phone
Oregon,Abundant Life Assembly of God,Reverend James E Hambelton,"207 E Main St Enterprise, OR 97828",OR,97828,(541) 426-3752
Oregon,Abundant Life Center,Reverend Jason D Liptac,"835 N 2nd St Jefferson, OR 97352",OR,97352,(541) 327-2112
Oregon,Abundant Life Center,Reverend Pamela A Telgenhoff,"11th & A Sts Toledo, OR 97391",OR,97391,(541) 336-2339
Oregon,Alsea Christian Fellowship,Reverend Darrell A Arneson,"18080 Alsea Hwy Alsea, OR 97324",OR,97324,(541) 487-4442
Oregon,Alston's Corner Assembly of God,,"25272 Alston Rd Rainier, OR 97048",OR,97048,(503) 556-1961
Oregon,Amity Assembly of God,,"118 Maddox Ave Amity, OR 97101",OR,97101,(503) 835-3275
Oregon,Assembly of God,Reverend Kelly P Williams,"313 Washburn St Brownsville, OR 97327",OR,97327,(541) 466-5030
Oregon,Assembly of God,Reverend Jonathan D Ferguson,"975 Drain Section Rd Drain, OR 97435",OR,97435,(541) 836-2369
Oregon,Assembly of God,,"511 Willis Ave Glendale, OR 97442",OR,97442,(541) 832-2243
Oregon,Assembly of God,Reverend Matthew D McCoy,"230 N 8th St Lakeside, OR 97449",OR,97449,(541) 759-3530
Oregon,Assembly of God,,"217 S Molalla Ave Molalla, OR 97038",OR,97038,(503) 829-2082
Oregon,Assembly of God,Reverend Nathan L Teague,"330 SW Front St Prairie City, OR 97869",OR,97869,(541) 820-3682
Oregon,Assembly of God,Reverend Robert W Shader,"1865 W Antler Ave Redmond, OR 97756",OR,97756,(541) 548-4555
Oregon,Assembly of God,Reverend Ronald J Janiszewski,"509 N 19th St Reedsport, OR 97467",OR,97467,(541) 271-3379
Oregon,Assembly of God,Reverend Timothy A Koetitz,"39800 Highway 26 Sandy, OR 97055",OR,97055,(503) 668-5589
Oregon,Assembly of God,Reverend Jack E Bacon,"60 Mallory Lane Shady Cove, OR 97539",OR,97539,(541) 878-2834
Oregon,Assembly of God,Reverend Douglas D Marks,"437 N James St Silverton, OR 97381",OR,97381,(503) 873-3611
Oregon,Assembly of God,,"500 Willow St Spray, OR 97874",OR,97874,(541) 468-2384
Oregon,Assembly of God,Reverend Ronald W Honey,"710 L St Umatilla, OR 97882",OR,97882,(541) 922-3462
Oregon,Assembly of God,Reverend Timothy A Barton,"702 W Highway 82 Wallowa, OR 97885",OR,97885,(541) 886-8445
Oregon,Assembly of God,Reverend Kevin D Lindley,"360 Darrell Ave Winston, OR 97496",OR,97496,(541) 679-5605
Oregon,Assembly of God,,"1008 Hayhurst Rd Yoncalla, OR 97499",OR,97499,(541) 849-2800
Oregon,Assembly of God of Independence,Reverend Marc M Senyk,"210 S 5th St Independence, OR 97351",OR,97351,(503) 949-1523
Oregon,Assembly of God Santiam Chapel,Reverend Bart A Stoltey,"440 5th St Lyons, OR 97358",OR,97358,(503) 859-2643
Oregon,Bayside Chapel,Reverend John R Bagorio,"145 NE Collins St Depoe Bay, OR 97341",OR,97341,(541) 765-2749
Oregon,Bayside Chapel Lincoln City Campus,Reverend John R Bagorio,"1715 NE 19th St Lincoln City, OR 97367",OR,97367,(541) 765-2749
Oregon,Bayside Chapel Siletz Campus,Reverend John R Bagorio,"164 NE Palmer St Siletz, OR 97380",OR,97380,(541) 765-2749
Oregon,Berean Assembly of God,Reverend Monte W Loyd,"147 75th St Springfield, OR 97478",OR,97478,(541) 747-5711
Oregon,Bethel Church,Reverend Randy J Hood,"4245 Vista Pointe Dr Medford, OR 97504",OR,97504,(541) 779-5771
Oregon,Bethel Church,Reverend Dwayne D Winslow,"1109 Airport Rd Pendleton, OR 97801",OR,97801,(541) 276-7559
Oregon,Calvary Assembly of God,Reverend C Michael West,"518 Fir St Brookings, OR 97415",OR,97415,(541) 469-2631
Oregon,Casa de Adoracion,,"4500 Lancaster Dr NE Salem, OR 97305",OR,97305,(503) 304-4000
Oregon,Celebration City Assembly of God,Reverend Jefrey V Johnson,"2700 SW 3rd St Corvallis, OR 97333",OR,97333,(541) 760-1729
Oregon,Center of Hope Assembly of God,Reverend Phillip G Johnson,"457 E 2nd St Coquille, OR 97423",OR,97423,(541) 396-4205
Oregon,Central Coast Assembly of God,Reverend Douglas W Haugen,"236 NE 6th St Newport, OR 97365",OR,97365,(541) 265-5773
Oregon,Central Neighborhood Church,Reverend Rodney P Howell,"4777 S Pacific Hwy Phoenix, OR 97535",OR,97535,(541) 535-2970
Oregon,Central Valley Assembly of God,Reverend Jeffrey A Carter,"657 American Dr Halsey, OR 97348",OR,97348,(503) 602-6796
Oregon,Chiloquin Christian Center,,"301 Chiloquin Blvd Chiloquin, OR 97624",OR,97624,(541) 783-2344
Oregon,Christian Center,Reverend Robert E Collinge,"936 Washington St Port Orford, OR 97465",OR,97465,(541) 332-2561
Oregon,Christian Center Assembly of God,Reverend Gary L Kalmback,"595 E Monroe Huntington, OR 97907",OR,97907,
Oregon,Christian Center Assembly of God,Reverend Norman R Soyster,"52565 Day Rd La Pine, OR 97739",OR,97739,(541) 536-1593
Oregon,Christian Life Center,Reverend Eli L Smith,"1391 Alder Elgin, OR 97827",OR,97827,(541) 437-2173
Oregon,Christian Life Center,,"535 W Morgan St Heppner, OR 97836",OR,97836,(541) 310-0022
Oregon,Church on the Hill North Campus,Reverend Jason L Treadwell,"2105 Keizer Rd NE Keizer, OR 97303",OR,97303,(503) 378-0463
Oregon,Church on the Hill of the Assemblies of God,Reverend Jason L Treadwell,"2707 Maranatha Ct SE Turner, OR 97392",OR,97392,(503) 378-0463
Oregon,City Gate Church,Reverend Taunja M Hoole,"765 NE Darnielle Dr Hillsboro, OR 97124",OR,97124,(503) 640-2224
Oregon,City of Destiny Church,Reverend Daniel R Trujillo,"2065 Centennial Blvd Springfield, OR 97477",OR,97477,(541) 746-6432
