district,church_name,pastor,address,state,zip_code,phone
South Dakota,All Nations Family Worship Center,"Reverend Johnny C Wade, III","1 Block S of 18 & 83 Jct Mission, SD 57555",SD,57555,(605) 828-2801
South Dakota,All Tribes Fellowship,,"111 N Main Wagner, SD 57380",SD,57380,(605) 491-2005
South Dakota,Assembly of God,,"207 N Dakota St Clark, SD 57225",SD,57225,(605) 532-3793
South Dakota,Assembly of God,Reverend Donald H Hill,"512 Elm St NW Herreid, SD 57632",SD,57632,
South Dakota,Assembly of God,Reverend Paul D Thompson,"105 Wall St Lead, SD 57754",SD,57754,(605) 584-2960
South Dakota,Assembly of God,Reverend David M Jahn,"502 S Main St Winner, SD 57580",SD,57580,(605) 842-1935
South Dakota,Be Church,Reverend Benjamin L Markwardt,"631 Airway Ct Box Elder, SD 57719",SD,57719,(605) 415-8715
South Dakota,Beacon Church,Reverend Benjamin D Miller,"101 N Green St Elk Point, SD 57025",SD,57025,(605) 370-1295
South Dakota,Bethel Church,,"1202 N Maple Ave Rapid City, SD 57701",SD,57701,(605) 342-5415
South Dakota,Bethel Church - Edgemont Campus,,"600 6th Ave Edgemont, SD 57735",SD,57735,(605) 342-5415
South Dakota,Brandon Valley Assembly of God,Reverend Kirk F Strand,"201 S Sioux Blvd Brandon, SD 57005",SD,57005,(605) 582-7622
South Dakota,Brandon Valley Assembly of God,Reverend Kirk F Strand,"201 S Sioux Blvd Brandon, SD 57005",SD,57005,(605) 582-7622
South Dakota,Calvary Assembly of God,Reverend Irma R Arredondo,"106 W College Ave Howard, SD 57349",SD,57349,(605) 999-9359
South Dakota,Calvary Assembly of God,Reverend Todd R Leininger,"2101 E 57th St Sioux Falls, SD 57108",SD,57108,(605) 336-9270
South Dakota,Calvary Church,Daniel J Lopez Flores,"1210 S Dakota St Milbank, SD 57252",SD,57252,(605) 432-4769
South Dakota,Calvary Church,Reverend Timothy D Wileman,"240 W Highway 14 Spearfish, SD 57783",SD,57783,(605) 642-3844
South Dakota,Christian Life Assembly of God,Reverend Sean M UnKauf,"201 S Broadway Watertown, SD 57201",SD,57201,(605) 886-3392
South Dakota,Cornerstone Church,Reverend Jason T Reasoner,"516 N Crawford Rd Vermillion, SD 57069",SD,57069,(605) 624-8809
South Dakota,Crossroads Assembly of God,Reverend Linda E Grenz,"1201 Cedar St Sturgis, SD 57785",SD,57785,(605) 720-2305
South Dakota,Crosswalk Community Church,Reverend Gabriel A Trevino,"6101 S Mogen Ave Sioux Falls, SD 57108",SD,57108,(605) 330-9255
South Dakota,Dakota Life Christian Center,Reverend Terri D Blanchett,"321 Fisk Newell, SD 57760",SD,57760,(605) 456-2513
South Dakota,Eagle Nest Life Center,Reverend Gus R Craven,"210 Washabaugh Ave Wanblee, SD 57577",SD,57577,(605) 462-6002
South Dakota,Falls Church,Reverend Lance J Rensch,"Ste 9 2701 S Minnesota Ave Sioux Falls, SD 57105",SD,57105,(605) 362-2995
South Dakota,Family Life Assembly of God,Reverend Mark W Cronauer,"404 W Hickory St Sisseton, SD 57262",SD,57262,(605) 698-7631
South Dakota,First Assembly of God,Reverend Benjamin W Snyder,"1424 24th Ave NW Aberdeen, SD 57401",SD,57401,(605) 225-5322
South Dakota,First Assembly of God,Reverend Gerry A Bass,"416 17th Ave S Brookings, SD 57006",SD,57006,(605) 692-9377
South Dakota,First Assembly of God,Reverend Allen D Bouslaugh,"1008 Church Ave Gregory, SD 57533",SD,57533,(605) 835-9373
South Dakota,First Assembly of God,Reverend Craig M Moore,"4905 Mount Rushmore Rd Rapid City, SD 57701",SD,57701,(605) 342-8265
South Dakota,Fountain of Life Assembly of God,Reverend Edwin C Cutler,"1828 University Ave Hot Springs, SD 57747",SD,57747,(605) 745-3236
South Dakota,Freedom Church,Reverend Jonathan D Molan,"Ste 200 516 Production St Aberdeen, SD 57401",SD,57401,(605) 725-0777
South Dakota,Freedom Church,,"1123 E 3rd St Miller, SD 57362",SD,57362,(605) 853-2558
South Dakota,Freedom Church,Reverend Mark A Appel,"525 N Main St Redfield, SD 57469",SD,57469,(605) 350-6688
South Dakota,Freedom Church Webster,Reverend Clark A Audiss,"615 Main St Webster, SD 57274",SD,57274,(605) 590-1254
South Dakota,Good News Assembly of God,,"3rd Ave W & 4th St Mc Laughlin, SD 57642",SD,57642,(605) 823-4462
South Dakota,Gospel of Fire of Bryant,Reverend Michael M Sanchez,"304 S Hill St Bryant, SD 57221",SD,57221,(605) 530-4559
South Dakota,Harvest Assembly of God,Reverend Henry J Halbert,"115 N Flick St Rm 5 Veblen, SD 57270",SD,57270,
South Dakota,Hope Church,Reverend Dustin B Hess,"1056 Main St Sturgis, SD 57785",SD,57785,(605) 515-2828
South Dakota,Journey Church,Reverend James D Moore,"1981 Centre St Rapid City, SD 57703",SD,57703,(605) 791-3821
South Dakota,LifeChange Church,Reverend Quentin T Beard,"6300 W 41st St Sioux Falls, SD 57106",SD,57106,(605) 361-6300
South Dakota,LifeChange Church,Reverend Quentin T Beard,"6300 W 41st St Sioux Falls, SD 57106",SD,57106,(605) 361-6300
South Dakota,LifeChange Church Harrisburg,Reverend Tyler D Tufte,"200 E Willow St Harrisburg, SD 57032",SD,57032,(605) 361-6300
South Dakota,Mitchell Assembly of God,Reverend Jonathan E Potter,"220 W 19th Ave Mitchell, SD 57301",SD,57301,(605) 996-3853
South Dakota,New Life Assembly of God,Reverend Larry W Wanamaker,"709 S Douglas St Inwood, IA 51240",IA,51240,(712) 753-2369
South Dakota,New Life Assembly of God,Reverend Jake P H Krahn,"1120 N Harrison Ave Pierre, SD 57501",SD,57501,(605) 224-1592
South Dakota,New Life Gettysburg,Reverend Tori A Troen,"105 E Commercial Ave Gettysburg, SD 57442",SD,57442,(605) 224-1592
South Dakota,Oglala Re-Creation and Worship Center,Reverend Eric J Sutton,"1/4 North on BIA 115 Oglala, SD 57764",SD,57764,(605) 867-2510
South Dakota,Quest Church,Reverend Evan T Ver Steeg,"1403 N Highway 77 Dell Rapids, SD 57022",SD,57022,(605) 428-4125
South Dakota,Restoration Church,Reverend Thomas A Brantner,"33 Third St SE Ste 202 Huron, SD 57350",SD,57350,(605) 461-0734
South Dakota,River City Assembly  of God,Reverend Spencer D Keroff,"801 W 25th St Yankton, SD 57078",SD,57078,(605) 665-6362
