district,church_name,pastor,address,state,zip_code,phone
Wisconsin-Northern Michigan,3:16 Church,Reverend Joseph M Bridger,"122 N 2nd St Abbotsford, WI 54405",WI,54405,(715) 223-3223
Wisconsin-Northern Michigan,906 Community Church,Reverend Mark A Dunn,"315 Explorer St Gwinn, MI 49841",MI,49841,(906) 346-2462
Wisconsin-Northern Michigan,Adams Assembly of God,Reverend Mark A Stevens,"2022 State Highway 13 S Adams, WI 53910",WI,53910,(608) 339-3878
Wisconsin-Northern Michigan,Adventure Church,Reverend Craig M Johnson,"23811 State Road 35 Siren, WI 54872",WI,54872,(715) 349-5750
Wisconsin-Northern Michigan,Alma Center Assembly of God,Reverend Joshua G John,"429 Turtle Pond Ln Alma Center, WI 54611",WI,54611,(715) 964-8311
Wisconsin-Northern Michigan,Anchor Community,Reverend Jacob L Lancaster,"315 10th St W Ashland, WI 54806",WI,54806,(715) 682-4973
Wisconsin-Northern Michigan,Antioch Revival Center,,"3013 S 37th St Milwaukee, WI 53215",WI,53215,(414) 722-7445
Wisconsin-Northern Michigan,Arise Church,Reverend Josiah J Vande Hei,"7677 County Rd W Greenleaf, WI 54126",WI,54126,(920) 843-4399
Wisconsin-Northern Michigan,Assembly of God,"Edward J Badendick, Jr.","S204 Section St Stephenson, MI 49887",MI,49887,(906) 753-4732
Wisconsin-Northern Michigan,Assembly of God,Reverend Sean P Heuer,"1225 W Lincoln St Augusta, WI 54722",WI,54722,(715) 286-5699
Wisconsin-Northern Michigan,Assembly of God,Reverend David A Thomassen,"215 2nd Ave N Dallas, WI 54733",WI,54733,(715) 837-1661
Wisconsin-Northern Michigan,Assembly of God,Reverend Brock A Brandenburg,"123 Zach St Glidden, WI 54527",WI,54527,(715) 264-3700
Wisconsin-Northern Michigan,Assembly of God,Reverend Matthew L Golie,"W2819 Chief Little Wave Keshena, WI 54135",WI,54135,(715) 799-3130
Wisconsin-Northern Michigan,Assembly of God,Reverend Alan J Klasi,"825 W Knapp St Rice Lake, WI 54868",WI,54868,(715) 234-9092
Wisconsin-Northern Michigan,Assembly of God,,"989 Lincoln St Seymour, WI 54165",WI,54165,(920) 833-6117
Wisconsin-Northern Michigan,Assembly of God Tabernacle,Reverend Ryan R Langner,"301 Chestnut St Boscobel, WI 53805",WI,53805,(608) 375-5088
Wisconsin-Northern Michigan,Athens Assembly of God,Reverend Craig A Diedrich,"220 Kreutzer St Athens, WI 54411",WI,54411,(715) 257-7747
Wisconsin-Northern Michigan,Banner Church,Reverend Brandon A Liebe,"1500 S West Ln New Berlin, WI 53146",WI,53146,(262) 754-1122
Wisconsin-Northern Michigan,Bedrock Church,Reverend Cara J Luecht,"Hwy 16 & Williams Rd Rio, WI 53960",WI,53960,(920) 992-9664
